,transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
102721,2019,Danilo,Man City,Premier League,Juventus,Serie A,33000000.0,18000000,Defender,1991,28
102722,2019,Benjamin Pavard,VfB Stuttgart,2. Bundesliga,Bayern Munich ,Bundesliga,31000000.0,27000000,Defender,1996,23
102723,2019,Abdou Diallo,Bor. Dortmund,Bundesliga,Paris SG,Ligue 1,28000000.0,31000000,Defender,1996,23
102724,2019,Mats Hummels,Bayern Munich ,Bundesliga,Bor. Dortmund,Bundesliga,27000000.0,31000000,Defender,1989,30
102725,2019,Ryan Sessegnon,Fulham,Championship,Spurs,Premier League,24000000.0,31000000,Defender,2000,19
102726,2019,Kieran Trippier,Spurs,Premier League,Atlético Madrid,LaLiga,19000000.0,31000000,Defender,1990,29
102727,2019,William Saliba,Saint-Étienne,Ligue 1,Arsenal,Premier League,27000000.0,10000000,Defender,2001,18
102728,2019,Leonardo Spinazzola,Juventus,Serie A,AS Roma,Serie A,26000000.0,13000000,Defender,1993,26
102729,2019,Kieran Tierney,Celtic,Premiership,Arsenal,Premier League,24000000.0,11000000,Defender,1997,22
102730,2019,Cristian Romero,Genoa,Serie A,Juventus,Serie A,23000000.0,13000000,Defender,1998,21
102731,2019,Nico Schulz,TSG Hoffenheim,Bundesliga,Bor. Dortmund,Bundesliga,22000000.0,22000000,Defender,1993,26
102732,2019,Mario Hermoso,Espanyol,LaLiga,Atlético Madrid,LaLiga,22000000.0,22000000,Defender,1995,24
102733,2019,Jules Koundé,G. Bordeaux,Ligue 1,Sevilla FC,LaLiga,22000000.0,13000000,Defender,1999,20
102734,2019,Joachim Andersen,Sampdoria,Serie A,Olympique Lyon,Ligue 1,21000000.0,22000000,Defender,1996,23
102735,2019,Júnior Firpo,Real Betis,LaLiga,FC Barcelona,LaLiga,16000000.0,22000000,Defender,1996,23
102736,2019,Tyrone Mings,Bournemouth,Premier League,Aston Villa,Premier League,20000000.0,4000000,Defender,1993,26
102737,2019,Adam Webster,Bristol City,Championship,Brighton,Premier League,20000000.0,8000000,Defender,1995,24
102738,2019,Christian Eriksen,Spurs,Premier League,Inter,Serie A,24000000.0,81000000,Midfielder,1992,27
102740,2019,Frenkie de Jong,Ajax,Eredivisie,FC Barcelona,LaLiga,77000000.0,76000000,Midfielder,1997,22
102741,2019,Rodri,Atlético Madrid,LaLiga,Man City,Premier League,63000000.0,72000000,Midfielder,1996,23
102742,2019,Tanguy Ndombélé,Olympique Lyon,Ligue 1,Spurs,Premier League,54000000.0,58000000,Midfielder,1997,22
102743,2019,Bruno Fernandes,Sporting CP,Liga NOS,Man Utd,Premier League,49000000.0,54000000,Midfielder,1994,25
102744,2019,Nabil Fekir,Olympique Lyon,Ligue 1,Real Betis,LaLiga,17000000.0,54000000,Midfielder,1993,26
102745,2019,Julian Brandt,Bay. Leverkusen,Bundesliga,Bor. Dortmund,Bundesliga,22000000.0,45000000,Midfielder,1996,23
102746,2019,Giovani Lo Celso,Paris SG,Ligue 1,Real Betis,LaLiga,19000000.0,45000000,Midfielder,1996,23
