Pos,Country,season_1993,season_1994,season_1995,season_1996,season_1997, Pts , Clubs
,,,,,,,,
1 ,Italy,13.666,14.142,13.285,9.5,10.142,60.735,7
2 ,Spain,6.666,8.666,8.6,11,11.6,46.532,6
3 ,France,11.2,8.2,9,9.875,7.125,45.4,10
4 ,Germany,5.142,10.666,10.166,8.833,9.142,43.949,8
5 ,Netherlands,7.6,2.6,7.4,12.5,6.25,36.35,5
6 ,Portugal,7.2,9.8,6,4.4,7.4,34.8,5
7 ,England,3.25,8.5,7.333,4.333,7.4,30.816,6
8 ,Belgium,8.6,5.4,3.8,1.9,4.5,24.2,5
9 ,Russia,9,4,2.8,5.4,2.75,23.95,4
10 ,Czech Republic,6,1,2.5,10.333,3.666,23.499,3
11 ,Greece,4,4.5,3.5,7.25,3.25,22.5,4
12 ,Austria,2.2,6,5.75,4.5,3.875,22.325,4
13 ,Turkey,4.75,4.75,4.25,1.625,6.875,22.25,4
14 ,Denmark,2.75,3.375,4.625,4.75,4.3,19.8,3
15 ,Sweden,4.75,1.25,6.125,2.25,4.8,19.175,5
16 ,Switzerland,3.5,1.75,3.125,3.5,5.375,17.25,3
17 ,Norway,1,4.333,2.833,3.125,5.375,16.666,4
18 ,Scotland,4.8,3,1.25,3.5,3.125,15.675,4
19 ,Romania,2.4,2.2,3.2,2.875,4.5,15.175,4
20 ,Poland,1.5,2.5,2.5,4.125,4.125,14.75,3
21 ,Ukraine,3.666,3,2.5,3.333,1.5,13.999,4
22 ,Croatia,-,3,6.5,0.5,3.333,13.333,3
23 ,Slovakia,3,1.666,4,1.833,2.5,12.999,3
24 ,Hungary,1.666,1.5,3.375,3,3.166,12.707,4
25 ,Israel,5,3.75,1,1.25,1.125,12.125,3
26 ,Cyprus,0.666,1.833,3.333,1.666,2.833,10.331,3
27 ,Georgia,-,1.5,4,0.5,4,10,3
28 ,Latvia,5,1,0.75,1.333,1.333,9.416,3
29 ,Slovenia,2,1.833,2,1.666,1.666,9.165,3
30 ,Belarus,-,1,1.5,3.75,1.5,7.75,2
31 ,Finland,1,1.833,2,1,1.875,7.708,2
32 ,Bulgaria,1.5,1.75,0.875,1.875,1.333,7.333,3
33 ,Iceland,0.333,2.166,1,1.833,1.333,6.665,2
34 ,Moldova,-,0.5,0,3,0.5,4,2
35 ,North Macedonia,-,-,0.5,2.25,1.166,3.916,3
36 ,Northern Ireland,1,1.333,0.666,0.5,0.333,3.832,3
37 ,Lithuania,0,0,1.5,1,1,3.5,2
38 ,Wales,1,0.5,0,0.333,1.333,3.166,3
39 ,Malta,0.666,1,0.666,0.166,0.333,2.831,2
40 ,Serbia,-,-,-,0.5,2.25,2.75,3
41 ,Liechtenstein,0,1.5,0,0,1,2.5,1
42 ,Republic of Ireland,0.666,0.666,0.5,0.333,0.333,2.498,3
43 ,Estonia,0,0.25,0,0.75,1.333,2.333,3
44 ,Luxembourg,1.333,0,0,0.833,0.166,2.332,3
45 ,Armenia,-,-,0.5,0.75,0.833,2.083,3
46 ,Faroe Islands,0.5,0.5,0,0.75,0,1.75,3
47 ,Albania,-,0.5,0.5,0.333,0,1.333,1
48 ,Azerbaijan,-,-,0,0.25,0.666,0.916,2
