,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2004,Didier Drogba,Centre-Forward,42,-,Marseille,Ligue 1,Chelsea,Premier League,£34.65m,https://www.transfermarkt.co.uk/didier-drogba/profil/spieler/3924
1,2004,Wayne Rooney,Attacking Midfield,34,-,Everton,Premier League,Man Utd,Premier League,£33.30m,https://www.transfermarkt.co.uk/wayne-rooney/profil/spieler/3332
2,2004,Ricardo Carvalho,Centre-Back,42,-,FC Porto,Liga NOS,Chelsea,Premier League,£27.00m,https://www.transfermarkt.co.uk/ricardo-carvalho/profil/spieler/9828
3,2004,Émerson,Defensive Midfield,44,-,AS Roma,Serie A,Juventus,Serie A,£25.20m,https://www.transfermarkt.co.uk/emerson/profil/spieler/70
4,2004,Samuel Eto'o,Centre-Forward,39,-,RCD Mallorca,LaLiga,FC Barcelona,LaLiga,£24.30m,https://www.transfermarkt.co.uk/samuel-etoo/profil/spieler/4257
5,2004,Wálter Samuel,Centre-Back,42,-,AS Roma,Serie A,Real Madrid,LaLiga,£22.50m,https://www.transfermarkt.co.uk/walter-samuel/profil/spieler/5938
6,2004,Deco,Attacking Midfield,43,-,FC Porto,Liga NOS,FC Barcelona,LaLiga,£18.90m,https://www.transfermarkt.co.uk/deco/profil/spieler/8564
7,2004,Djibril Cissé,Centre-Forward,39,-,AJ Auxerre,Ligue 1,Liverpool,Premier League,£18.00m,https://www.transfermarkt.co.uk/djibril-cisse/profil/spieler/3966
8,2004,Paulo Ferreira,Right-Back,41,-,FC Porto,Liga NOS,Chelsea,Premier League,£18.00m,https://www.transfermarkt.co.uk/paulo-ferreira/profil/spieler/9832
9,2004,Jonathan Woodgate,Centre-Back,40,-,Newcastle,Premier League,Real Madrid,LaLiga,£16.47m,https://www.transfermarkt.co.uk/jonathan-woodgate/profil/spieler/3224
10,2004,Arjen Robben,Right Winger,36,-,PSV Eindhoven,Eredivisie,Chelsea,Premier League,£16.20m,https://www.transfermarkt.co.uk/arjen-robben/profil/spieler/4360
11,2004,Stefano Fiore,Attacking Midfield,45,-,Lazio,Serie A,Valencia,LaLiga,£15.30m,https://www.transfermarkt.co.uk/stefano-fiore/profil/spieler/5842
12,2004,Matteo Brighi,Central Midfield,39,-,Juventus,Serie A,AS Roma,Serie A,£14.40m,https://www.transfermarkt.co.uk/matteo-brighi/profil/spieler/5868
13,2004,Zlatan Ibrahimovic,Centre-Forward,39,-,Ajax,Eredivisie,Juventus,Serie A,£14.40m,https://www.transfermarkt.co.uk/zlatan-ibrahimovic/profil/spieler/3455
14,2004,Xabi Alonso,Defensive Midfield,38,-,Real Sociedad,LaLiga,Liverpool,Premier League,£14.40m,https://www.transfermarkt.co.uk/xabi-alonso/profil/spieler/7476
15,2004,Tiago,Central Midfield,39,-,Benfica,Liga NOS,Chelsea,Premier League,£13.50m,https://www.transfermarkt.co.uk/benfica-lissabon/startseite/verein/294/saison_id/2004
16,2004,Fernando Morientes,Centre-Forward,44,£13.50m,Real Madrid,LaLiga,Liverpool,Premier League,£8.33m,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418/saison_id/2004
17,2004,Nicolas Anelka,Centre-Forward,41,£13.50m,Man City,Premier League,Fenerbahce,Süper Lig,£6.47m,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281/saison_id/2004
18,2004,Adrian Mutu,Centre-Forward,41,£13.50m,AS Livorno,Serie A,Juventus,Serie A,Free transfer,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210/saison_id/2004
19,2004,Matuzalém,Defensive Midfield,40,-,Brescia,Serie A,Shakhtar D.,Vyshcha Liga,£12.60m,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19/saison_id/2004
20,2004,Valeri Bojinov,Centre-Forward,34,£11.70m,Lecce,Serie A,Fiorentina,Serie A,£12.60m,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005/saison_id/2004
21,2004,Petr Cech,Goalkeeper,38,-,Stade Rennais,Ligue 1,Chelsea,Premier League,£11.70m,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273/saison_id/2004
22,2004,Lúcio,Centre-Back,42,-,Bay. Leverkusen,Bundesliga,Bayern Munich ,Bundesliga,£10.80m,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15/saison_id/2004
23,2004,Michael Owen,Centre-Forward,40,-,Liverpool,Premier League,Real Madrid,LaLiga,£10.80m,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31/saison_id/2004
24,2004,Jiri Jarosik,Centre-Back,42,£4.50m,CSKA Moscow,Premier Liga,Chelsea,Premier League,£10.80m,https://www.transfermarkt.co.uk/jiri-jarosik/profil/spieler/15581
25,2004,Craig Bellamy,Left Winger,41,£10.80m,Newcastle,Premier League,Celtic,Premiership,Loan,https://www.transfermarkt.co.uk/craig-bellamy/profil/spieler/3297
26,2004,Matteo Brighi,Central Midfield,39,-,Parma,Serie A,Juventus,Serie A,£10.35m,https://www.transfermarkt.co.uk/matteo-brighi/profil/spieler/5868
27,2004,Jean-Alain Boumsong,Centre-Back,40,£7.65m,Rangers,Premiership,Newcastle,Premier League,£10.17m,https://www.transfermarkt.co.uk/glasgow-rangers/startseite/verein/124/saison_id/2004
28,2004,Marco Di Vaio,Centre-Forward,44,-,Juventus,Serie A,Valencia,LaLiga,£9.90m,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506/saison_id/2004
29,2004,Jaap Stam,Centre-Back,48,-,Lazio,Serie A,AC Milan,Serie A,£9.45m,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398/saison_id/2004
30,2004,Fabio Cannavaro,Centre-Back,47,-,Inter,Serie A,Juventus,Serie A,£9.00m,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46/saison_id/2004
31,2004,Jérôme Rothen,Left Midfield,42,-,Monaco,Ligue 1,Paris SG,Ligue 1,£9.00m,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162/saison_id/2004
32,2004,Bernardo Corradi,Centre-Forward,44,-,Lazio,Serie A,Valencia,LaLiga,£9.00m,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398/saison_id/2004
33,2004,Fabián Carini,Goalkeeper,40,-,Juventus,Serie A,Inter,Serie A,£9.00m,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506/saison_id/2004
34,2004,Gabriel Heinze,Centre-Back,42,-,Paris SG,Ligue 1,Man Utd,Premier League,£9.00m,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583/saison_id/2004
35,2004,Carlos Alberto,Attacking Midfield,35,£5.40m,FC Porto,Liga NOS,Corinthians,Série A,£9.00m,https://www.transfermarkt.co.uk/fc-porto/startseite/verein/720/saison_id/2004
