,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2010,Artur Boruc,Goalkeeper,40,£8.55m,Celtic,Premiership,Fiorentina,Serie A,£2.25m,https://www.transfermarkt.co.uk/artur-boruc/profil/spieler/15220
1,2010,Marco Amelia,Goalkeeper,38,£8.10m,Genoa,Serie A,AC Milan,Serie A,Loan,https://www.transfermarkt.co.uk/marco-amelia/profil/spieler/16810
2,2010,Roberto,Goalkeeper,34,£1.80m,Atlético Madrid,LaLiga,Benfica,Liga NOS,£7.65m,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
3,2010,Eduardo,Goalkeeper,38,£7.02m,Braga,Liga NOS,Genoa,Serie A,£4.05m,https://www.transfermarkt.co.uk/eduardo/profil/spieler/34159
4,2010,Ben Foster,Goalkeeper,37,£2.70m,Man Utd,Premier League,Birmingham,Premier League,£6.30m,https://www.transfermarkt.co.uk/ben-foster/profil/spieler/13572
5,2010,Chris Kirkland,Goalkeeper,39,£4.95m,Wigan,Premier League,Leicester,Championship,Loan,https://www.transfermarkt.co.uk/chris-kirkland/profil/spieler/3219
6,2010,Anders Lindegaard,Goalkeeper,36,£2.88m,Aalesund,Tippeligaen,Man Utd,Premier League,£4.50m,https://www.transfermarkt.co.uk/anders-lindegaard/profil/spieler/22491
7,2010,Gianluca Curci,Goalkeeper,35,£4.50m,Siena,Serie B,Sampdoria,Serie A,£2.25m,https://www.transfermarkt.co.uk/gianluca-curci/profil/spieler/24001
8,2010,Sergio Asenjo,Goalkeeper,31,£4.50m,Atlético Madrid,LaLiga,Málaga CF,LaLiga,Loan,https://www.transfermarkt.co.uk/sergio-asenjo/profil/spieler/51710
9,2010,Marco Storari,Goalkeeper,43,£1.35m,AC Milan,Serie A,Juventus,Serie A,£4.05m,https://www.transfermarkt.co.uk/marco-storari/profil/spieler/19136
10,2010,Jaroslav Drobny,Goalkeeper,40,£4.05m,Hertha BSC,2. Bundesliga,Hamburger SV,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/jaroslav-drobny/profil/spieler/12864
11,2010,Leo Franco,Goalkeeper,43,£3.60m,Galatasaray,Süper Lig,Real Zaragoza,LaLiga,Free transfer,https://www.transfermarkt.co.uk/leo-franco/profil/spieler/7669
12,2010,Neto,Goalkeeper,31,£1.62m,Atlético-PR,Série A,Fiorentina,Serie A,£3.15m,https://www.transfermarkt.co.uk/clube-atletico-paranaense/startseite/verein/679/saison_id/2010
13,2010,Boaz Myhill,Goalkeeper,37,£3.15m,Hull City,Championship,West Brom,Premier League,£1.62m,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008/saison_id/2010
14,2010,Jan Mucha,Goalkeeper,37,£2.88m,Legia Warszawa,Ekstraklasa,Everton,Premier League,Free transfer,https://www.transfermarkt.co.uk/legia-warschau/startseite/verein/255/saison_id/2010
15,2010,Maksym Koval,Goalkeeper,27,£630Th.,Metalurg Z.,Premier Liga,Dynamo Kyiv,Premier Liga,£2.79m,https://www.transfermarkt.co.uk/metalurg-zaporizhya/startseite/verein/6994/saison_id/2010
16,2010,Matej Delac,Goalkeeper,28,£1.35m,Inter Zapresic,1.HNL,Chelsea,Premier League,£2.70m,https://www.transfermarkt.co.uk/nk-inter-zapresic/startseite/verein/918/saison_id/2010
17,2010,Federico Vilar,Goalkeeper,43,£2.70m,Atlante,Primera Clausura,Monarcas Morelia,Primera Clausura,£2.70m,https://www.transfermarkt.co.uk/cf-atlante/startseite/verein/6709/saison_id/2010
18,2010,Márton Fülöp,Goalkeeper,†32,£2.70m,Sunderland,Premier League,Ipswich,Championship,£383Th.,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289/saison_id/2010
19,2010,Renan,Goalkeeper,35,£2.70m,Valencia,LaLiga,Internacional,Série A,Loan fee:,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049/saison_id/2010
20,2010,Luca Castellazzi,Goalkeeper,45,£2.70m,Sampdoria,Serie A,Inter,Serie A,Free transfer,https://www.transfermarkt.co.uk/uc-sampdoria/startseite/verein/1038/saison_id/2010
21,2010,David James,Goalkeeper,50,£2.70m,Portsmouth,Championship,Bristol City,Championship,Free transfer,https://www.transfermarkt.co.uk/fc-portsmouth/startseite/verein/1020/saison_id/2010
22,2010,Soslan Dzhanaev,Goalkeeper,33,£2.70m,Spartak Moscow,Premier Liga,Terek Grozny,Premier Liga,Loan,https://www.transfermarkt.co.uk/spartak-moskau/startseite/verein/232/saison_id/2010
23,2010,Rubinho,Goalkeeper,38,£2.70m,US Palermo,Serie A,Torino,Serie B,Loan,https://www.transfermarkt.co.uk/us-palermo/startseite/verein/458/saison_id/2010
24,2010,David Luiz,Centre-Back,33,£12.60m,Benfica,Liga NOS,Chelsea,Premier League,£22.50m,https://www.transfermarkt.co.uk/david-luiz/profil/spieler/46741
