,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2012,Hugo Lloris,Goalkeeper,33,£17.10m,Olympique Lyon,Ligue 1,Spurs,Premier League,£11.34m,https://www.transfermarkt.co.uk/hugo-lloris/profil/spieler/17965
1,2012,Samir Handanovic,Goalkeeper,36,£13.50m,Udinese Calcio,Serie A,Inter,Serie A,£13.50m,https://www.transfermarkt.co.uk/samir-handanovic/profil/spieler/28021
2,2012,Júlio César,Goalkeeper,41,£13.50m,Inter,Serie A,QPR,Premier League,Free transfer,https://www.transfermarkt.co.uk/julio-cesar/profil/spieler/22412
3,2012,Emiliano Viviano,Goalkeeper,34,£9.45m,US Palermo,Serie A,Fiorentina,Serie A,Loan fee:,https://www.transfermarkt.co.uk/emiliano-viviano/profil/spieler/24316
4,2012,Diego López,Goalkeeper,38,£7.20m,Villarreal,LaLiga2,Sevilla FC,LaLiga,£3.15m,https://www.transfermarkt.co.uk/diego-lopez/profil/spieler/34370
5,2012,René Adler,Goalkeeper,35,£5.40m,Bay. Leverkusen,Bundesliga,Hamburger SV,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/rene-adler/profil/spieler/1784
6,2012,Tim Wiese,Goalkeeper,38,£4.95m,Werder Bremen,Bundesliga,TSG Hoffenheim,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/tim-wiese/profil/spieler/1474
7,2012,Ben Foster,Goalkeeper,37,£4.50m,Birmingham,Championship,West Brom,Premier League,£4.50m,https://www.transfermarkt.co.uk/ben-foster/profil/spieler/13572
8,2012,Victor,Goalkeeper,37,£4.50m,Grêmio,Série A,Atlético-MG,Série A,£2.70m,https://www.transfermarkt.co.uk/victor/profil/spieler/67867
9,2012,Allan McGregor,Goalkeeper,38,£4.50m,Rangers,League Two,Besiktas,Süper Lig,Free transfer,https://www.transfermarkt.co.uk/allan-mcgregor/profil/spieler/9422
10,2012,Mickaël Landreau,Goalkeeper,41,£4.50m,LOSC Lille,Ligue 1,SC Bastia,Ligue 1,Free transfer,https://www.transfermarkt.co.uk/mickael-landreau/profil/spieler/3575
