,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2001,Zinédine Zidane,Attacking Midfield,48,-,Juventus,Serie A,Real Madrid,LaLiga,£69.75m,https://www.transfermarkt.co.uk/zinedine-zidane/profil/spieler/3111
1,2001,Gianluigi Buffon,Goalkeeper,42,-,AC Parma,Serie A,Juventus,Serie A,£47.60m,https://www.transfermarkt.co.uk/gianluigi-buffon/profil/spieler/5023
2,2001,Gaizka Mendieta,Right Midfield,46,-,Valencia,LaLiga,Lazio,Serie A,£43.20m,https://www.transfermarkt.co.uk/gaizka-mendieta/profil/spieler/7603
3,2001,Juan Sebastián Verón,Central Midfield,45,-,Lazio,Serie A,Man Utd,Premier League,£38.34m,https://www.transfermarkt.co.uk/juan-sebastian-veron/profil/spieler/3143
4,2001,Rui Costa,Attacking Midfield,48,-,Fiorentina,Serie A,Milan,Serie A,£37.18m,https://www.transfermarkt.co.uk/rui-costa/profil/spieler/3624
5,2001,Lilian Thuram,Centre-Back,48,-,AC Parma,Serie A,Juventus,Serie A,£32.54m,https://www.transfermarkt.co.uk/lilian-thuram/profil/spieler/3521
6,2001,Filippo Inzaghi,Centre-Forward,47,-,Juventus,Serie A,Milan,Serie A,£32.54m,https://www.transfermarkt.co.uk/filippo-inzaghi/profil/spieler/5821
7,2001,Antonio Cassano,Second Striker,38,-,Bari,Serie B,AS Roma,Serie A,£27.90m,https://www.transfermarkt.co.uk/as-bari/startseite/verein/332/saison_id/2001
8,2001,Ruud van Nistelrooy,Centre-Forward,44,-,PSV Eindhoven,KPN Eredivisie,Man Utd,Premier League,£25.65m,https://www.transfermarkt.co.uk/psv-eindhoven/startseite/verein/383/saison_id/2001
9,2001,Hidetoshi Nakata,Attacking Midfield,43,-,AS Roma,Serie A,AC Parma,Serie A,£25.56m,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12/saison_id/2001
10,2001,Francesco Toldo,Goalkeeper,48,-,Fiorentina,Serie A,Inter,Serie A,£23.85m,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430/saison_id/2001
11,2001,Jaap Stam,Centre-Back,48,-,Man Utd,Premier League,Lazio,Serie A,£23.18m,https://www.transfermarkt.co.uk/manchester-united/startseite/verein/985/saison_id/2001
12,2001,Márcio Amoroso,Centre-Forward,46,-,AC Parma,Serie A,Bor. Dortmund,Bundesliga,£22.95m,https://www.transfermarkt.co.uk/fc-parma/startseite/verein/130/saison_id/2001
13,2001,Stefano Fiore,Attacking Midfield,45,-,Udinese,Serie A,Lazio,Serie A,£22.50m,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410/saison_id/2001
14,2001,Marcelo Salas,Centre-Forward,45,-,Lazio,Serie A,Juventus,Serie A,£22.50m,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398/saison_id/2001
15,2001,Robbie Keane,Centre-Forward,40,-,Inter,Serie A,Leeds,Premier League,£16.20m,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46/saison_id/2001
16,2001,Sérgio Conceição,Right Winger,45,-,AC Parma,Serie A,Inter,Serie A,£16.20m,https://www.transfermarkt.co.uk/fc-parma/startseite/verein/130/saison_id/2001
17,2001,Sergio,Central Midfield,43,-,Espanyol,LaLiga,Dep. La Coruña,LaLiga,£16.11m,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714/saison_id/2001
18,2001,Steve Marlet,Centre-Forward,46,-,Olympique Lyon,Ligue 1,Fulham,Premier League,£15.84m,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041/saison_id/2001
19,2001,Andrea Pirlo,Defensive Midfield,41,-,Inter,Serie A,Milan,Serie A,£15.34m,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46/saison_id/2001
20,2001,Philippe Christanval,Centre-Back,42,-,Monaco,Ligue 1,FC Barcelona,LaLiga,£15.30m,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162/saison_id/2001
21,2001,Robbie Fowler,Centre-Forward,45,-,Liverpool,Premier League,Leeds,Premier League,£15.12m,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31/saison_id/2001
22,2001,Frank Lampard,Central Midfield,42,-,West Ham,Premier League,Chelsea,Premier League,£14.40m,https://www.transfermarkt.co.uk/west-ham-united/startseite/verein/379/saison_id/2001
23,2001,Frank Lampard,Central Midfield,42,-,West Ham,Premier League,Chelsea,Premier League,£14.40m,https://www.transfermarkt.co.uk/frank-lampard/profil/spieler/3163
24,2001,Cristian Zenoni,Right-Back,43,-,Milan,Serie A,Juventus,Serie A,£13.95m,https://www.transfermarkt.co.uk/cristian-zenoni/profil/spieler/6794
25,2001,Darko Kovacevic,Centre-Forward,46,-,Lazio,Serie A,Real Sociedad,LaLiga,£13.94m,https://www.transfermarkt.co.uk/darko-kovacevic/profil/spieler/7479
26,2001,Massimo Donati,Defensive Midfield,39,-,Atalanta,Serie A,Milan,Serie A,£13.50m,https://www.transfermarkt.co.uk/massimo-donati/profil/spieler/5870
27,2001,Evanilson,Right-Back,45,-,Bor. Dortmund,Bundesliga,AC Parma,Serie A,£13.50m,https://www.transfermarkt.co.uk/evanilson/profil/spieler/110
28,2001,Jonathan Bachini,Right Midfield,45,-,Juventus,Serie A,AC Parma,Serie A,£13.50m,https://www.transfermarkt.co.uk/jonathan-bachini/profil/spieler/5972
29,2001,Michalis Konstantinou,Centre-Forward,42,-,Iraklis,A' Ethniki,Panathinaikos,A' Ethniki,£13.50m,https://www.transfermarkt.co.uk/michalis-konstantinou/profil/spieler/9839
30,2001,Darko Kovacevic,Centre-Forward,46,-,Juventus,Serie A,Lazio,Serie A,£13.50m,https://www.transfermarkt.co.uk/darko-kovacevic/profil/spieler/7479
31,2001,Laurent Robert,Left Winger,45,-,Paris SG,Ligue 1,Newcastle,Premier League,£12.89m,https://www.transfermarkt.co.uk/laurent-robert/profil/spieler/3316
32,2001,Ivan Pelizzoli,Goalkeeper,39,-,Atalanta,Serie A,AS Roma,Serie A,£12.60m,https://www.transfermarkt.co.uk/ivan-pelizzoli/profil/spieler/5936
33,2001,Mohamed Kallon,Centre-Forward,41,-,Vicenza,Serie B,Inter,Serie A,£11.70m,https://www.transfermarkt.co.uk/vicenza-calcio/startseite/verein/2655/saison_id/2001
34,2001,Fabio Liverani,Defensive Midfield,44,-,Perugia,Serie A,Lazio,Serie A,£11.70m,https://www.transfermarkt.co.uk/serie-a/transfers/wettbewerb/IT1/saison_id/2001
35,2001,Simão,Left Winger,40,-,FC Barcelona,LaLiga,Benfica,Liga NOS,£11.62m,https://www.transfermarkt.co.uk/primera-division/transfers/wettbewerb/ES1/saison_id/2001
36,2001,Boudewijn Zenden,Left Winger,44,-,FC Barcelona,LaLiga,Chelsea,Premier League,£11.61m,https://www.transfermarkt.co.uk/primera-division/transfers/wettbewerb/ES1/saison_id/2001
37,2001,Andy Cole,Centre-Forward,48,-,Man Utd,Premier League,Blackburn,Premier League,£10.98m,https://www.transfermarkt.co.uk/premier-league/transfers/wettbewerb/GB1/saison_id/2001
38,2001,Dean Richards,Centre-Back,†36,-,Southampton,Premier League,Spurs,Premier League,£10.94m,https://www.transfermarkt.co.uk/premier-league/transfers/wettbewerb/GB1/saison_id/2001
39,2001,Éric Carrière,Attacking Midfield,47,-,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,£10.80m,https://www.transfermarkt.co.uk/ligue-1/transfers/wettbewerb/FR1/saison_id/2001
40,2001,Bernt Haas,Right-Back,42,-,Grasshoppers,Nationalliga A,Sunderland,Premier League,£10.62m,https://www.transfermarkt.co.uk/raiffeisen-super-league/transfers/wettbewerb/C1/saison_id/2001
41,2001,Daniel Van Buyten,Centre-Back,42,-,Standard Liège,Jupiler Pro League,Marseille,Ligue 1,£10.35m,https://www.transfermarkt.co.uk/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2001
42,2001,Seth Johnson,Central Midfield,41,-,Derby,Premier League,Leeds,Premier League,£10.35m,https://www.transfermarkt.co.uk/premier-league/transfers/wettbewerb/GB1/saison_id/2001
43,2001,Emmanuel Petit,Defensive Midfield,50,-,FC Barcelona,LaLiga,Chelsea,Premier League,£10.35m,https://www.transfermarkt.co.uk/primera-division/transfers/wettbewerb/ES1/saison_id/2001
44,2001,Corrado Grabbi,Centre-Forward,45,-,Ternana,Serie B,Blackburn,Premier League,£10.23m,https://www.transfermarkt.co.uk/serie-b/transfers/wettbewerb/IT2/saison_id/2001
45,2001,Cristiano Zanetti,Defensive Midfield,43,-,AS Roma,Serie A,Inter,Serie A,£9.90m,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12/saison_id/2001
46,2001,Juan Carlos Valerón,Attacking Midfield,45,-,Atlético Madrid,2ª División,Dep. La Coruña,LaLiga,£9.90m,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13/saison_id/2001
47,2001,Mario Turdó,Centre-Forward,41,-,Celta de Vigo,LaLiga,Stade Rennais,Ligue 1,£9.74m,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940/saison_id/2001
48,2001,Salva Ballesta,Centre-Forward,45,-,Atlético Madrid,2ª División,Valencia,LaLiga,£9.72m,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13/saison_id/2001
49,2001,Jan Koller,Centre-Forward,47,-,RSC Anderlecht,Jupiler Pro League,Bor. Dortmund,Bundesliga,£9.45m,https://www.transfermarkt.co.uk/rsc-anderlecht/startseite/verein/58/saison_id/2001
50,2001,Marco Materazzi,Centre-Back,47,-,Perugia,Serie A,Inter,Serie A,£9.45m,https://www.transfermarkt.co.uk/ac-perugia-calcio/startseite/verein/839/saison_id/2001
51,2001,Edwin van der Sar,Goalkeeper,49,-,Juventus,Serie A,Fulham,Premier League,£9.27m,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506/saison_id/2001
52,2001,Luca Saudati,Centre-Forward,41,-,Milan,Serie A,Atalanta,Serie A,£9.00m,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5/saison_id/2001
