,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2000,Luís Figo,Right Winger,47,-,FC Barcelona,LaLiga,Real Madrid,LaLiga,£54.00m,https://www.transfermarkt.co.uk/luis-figo/profil/spieler/3446
1,2000,Hernán Crespo,Centre-Forward,45,-,AC Parma,Serie A,Lazio,Serie A,£51.13m,https://www.transfermarkt.co.uk/hernan-crespo/profil/spieler/3410
2,2000,Marc Overmars,Left Winger,47,-,Arsenal,Premier League,FC Barcelona,LaLiga,£36.00m,https://www.transfermarkt.co.uk/marc-overmars/profil/spieler/3513
3,2000,Gabriel Batistuta,Centre-Forward,51,-,Fiorentina,Serie A,AS Roma,Serie A,£32.54m,https://www.transfermarkt.co.uk/gabriel-batistuta/profil/spieler/5959
4,2000,Nicolas Anelka,Centre-Forward,41,-,Real Madrid,LaLiga,Paris SG,Ligue 1,£31.05m,https://www.transfermarkt.co.uk/nicolas-anelka/profil/spieler/3226
5,2000,Rio Ferdinand,Centre-Back,41,-,West Ham,Premier League,Leeds,Premier League,£23.40m,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235
6,2000,Savo Milosevic,Centre-Forward,47,-,Real Zaragoza,LaLiga,AC Parma,Serie A,£22.50m,https://www.transfermarkt.co.uk/savo-milosevic/profil/spieler/7896
7,2000,Flávio Conceição,Central Midfield,46,-,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,£22.50m,https://www.transfermarkt.co.uk/flavio-conceicao/profil/spieler/7279
8,2000,David Trézéguet,Centre-Forward,42,-,Monaco,Ligue 1,Juventus,Serie A,£20.92m,https://www.transfermarkt.co.uk/david-trezeguet/profil/spieler/4146
9,2000,Claudio López,Second Striker,46,-,Valencia,LaLiga,Lazio,Serie A,£20.70m,https://www.transfermarkt.co.uk/claudio-lopez/profil/spieler/3418
10,2000,Jimmy Floyd Hasselbaink,Centre-Forward,48,-,Atlético Madrid,2ª División,Chelsea,Premier League,£20.25m,https://www.transfermarkt.co.uk/jimmy-floyd-hasselbaink/profil/spieler/3175
11,2000,Gerard López,Central Midfield,41,-,Valencia,LaLiga,FC Barcelona,LaLiga,£19.44m,https://www.transfermarkt.co.uk/gerard-lopez/profil/spieler/7599
12,2000,Shabani Nonda,Centre-Forward,43,-,Stade Rennais,Ligue 1,Monaco,Ligue 1,£18.00m,https://www.transfermarkt.co.uk/ligue-1/transfers/wettbewerb/FR1/saison_id/2000
13,2000,Robbie Keane,Centre-Forward,40,-,Coventry,Premier League,Inter,Serie A,£17.55m,https://www.transfermarkt.co.uk/premier-league/transfers/wettbewerb/GB1/saison_id/2000
14,2000,Jonathan Zebina,Centre-Back,42,-,Cagliari Calcio,Serie B,AS Roma,Serie A,£16.56m,https://www.transfermarkt.co.uk/serie-b/transfers/wettbewerb/IT2/saison_id/2000
15,2000,Émerson,Defensive Midfield,44,-,Bay. Leverkusen,Bundesliga,AS Roma,Serie A,£16.20m,https://www.transfermarkt.co.uk/1-bundesliga/transfers/wettbewerb/L1/saison_id/2000
16,2000,Sergiy Rebrov,Second Striker,46,-,Dynamo Kyiv,Vyshcha Liga,Spurs,Premier League,£16.20m,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148/saison_id/2000
17,2000,Angelo Peruzzi,Goalkeeper,50,-,Inter,Serie A,Lazio,Serie A,£16.11m,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398/saison_id/2000
18,2000,Diego Tristán,Centre-Forward,44,-,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,£15.98m,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897/saison_id/2000
19,2000,Fernando Redondo,Defensive Midfield,51,-,Real Madrid,LaLiga,Milan,Serie A,£15.75m,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5/saison_id/2000
20,2000,Sylvain Wiltord,Second Striker,46,-,G. Bordeaux,Ligue 1,Arsenal,Premier League,£15.75m,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11/saison_id/2000
21,2000,Jardel,Centre-Forward,47,-,FC Porto,Liga NOS,Galatasaray,Süper Lig,£15.35m,https://www.transfermarkt.co.uk/jardel/profil/spieler/3625
22,2000,Sérgio Conceição,Right Winger,45,-,Lazio,Serie A,AC Parma,Serie A,£15.30m,https://www.transfermarkt.co.uk/sergio-conceicao/profil/spieler/7912
23,2000,Nuno Gomes,Centre-Forward,44,-,Benfica,Liga NOS,Fiorentina,Serie A,£15.30m,https://www.transfermarkt.co.uk/nuno-gomes/profil/spieler/3626
24,2000,Alfonso,Centre-Forward,48,-,Real Betis,2ª División,FC Barcelona,LaLiga,£14.85m,https://www.transfermarkt.co.uk/alfonso/profil/spieler/7933
25,2000,Francisco Farinós,Defensive Midfield,42,-,Valencia,LaLiga,Inter,Serie A,£14.63m,https://www.transfermarkt.co.uk/francisco-farinos/profil/spieler/5785
26,2000,Kakhaber Kaladze,Centre-Back,42,-,Dynamo Kyiv,Vyshcha Liga,Milan,Serie A,£14.40m,https://www.transfermarkt.co.uk/kakhaber-kaladze/profil/spieler/3430
27,2000,Francis Jeffers,Centre-Forward,39,-,Everton,Premier League,Arsenal,Premier League,£13.77m,https://www.transfermarkt.co.uk/francis-jeffers/profil/spieler/3186
28,2000,Emmanuel Petit,Defensive Midfield,50,-,Arsenal,Premier League,FC Barcelona,LaLiga,£13.50m,https://www.transfermarkt.co.uk/emmanuel-petit/profil/spieler/3166
29,2000,Tomas Rosicky,Attacking Midfield,40,-,Sparta Praha,Fortuna Liga,Bor. Dortmund,Bundesliga,£13.05m,https://www.transfermarkt.co.uk/tomas-rosicky/profil/spieler/132
30,2000,Catanha,Centre-Forward,48,-,Málaga CF,LaLiga,Celta de Vigo,LaLiga,£12.98m,https://www.transfermarkt.co.uk/catanha/profil/spieler/7559
31,2000,Claude Makélélé,Defensive Midfield,47,-,Celta de Vigo,LaLiga,Real Madrid,LaLiga,£12.60m,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940/saison_id/2000
32,2000,Aldo Duscher,Defensive Midfield,41,-,Sporting CP,Liga NOS,Dep. La Coruña,LaLiga,£11.70m,https://www.transfermarkt.co.uk/sporting-lissabon/startseite/verein/336/saison_id/2000
33,2000,Ugo Ehiogu,Centre-Back,†44,-,Aston Villa,Premier League,Middlesbrough,Premier League,£10.98m,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405/saison_id/2000
34,2000,Jesper Grönkjaer,Left Winger,43,-,Ajax,KPN Eredivisie,Chelsea,Premier League,£10.67m,https://www.transfermarkt.co.uk/ajax-amsterdam/startseite/verein/610/saison_id/2000
35,2000,Fabien Barthez,Goalkeeper,49,-,Monaco,Ligue 1,Man Utd,Premier League,£10.53m,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162/saison_id/2000
