,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2016,Claudio Bravo,Goalkeeper,37,£13.50m,FC Barcelona,LaLiga,Man City,Premier League,£16.20m,https://www.transfermarkt.co.uk/claudio-bravo/profil/spieler/40423
1,2016,Joe Hart,Goalkeeper,33,£15.30m,Man City,Premier League,Torino,Serie A,Loan,https://www.transfermarkt.co.uk/joe-hart/profil/spieler/40204
2,2016,Jasper Cillessen,Goalkeeper,31,£10.80m,Ajax,Eredivisie,FC Barcelona,LaLiga,£11.70m,https://www.transfermarkt.co.uk/jasper-cillessen/profil/spieler/146227
3,2016,Steve Mandanda,Goalkeeper,35,£9.00m,Marseille,Ligue 1,Crystal Palace,Premier League,Free transfer,https://www.transfermarkt.co.uk/steve-mandanda/profil/spieler/23951
4,2016,Marco Sportiello,Goalkeeper,28,£8.10m,Atalanta,Serie A,Fiorentina,Serie A,Loan fee:,https://www.transfermarkt.co.uk/marco-sportiello/profil/spieler/199976
5,2016,Alisson,Goalkeeper,28,£6.30m,Internacional,Série A,AS Roma,Serie A,£7.20m,https://www.transfermarkt.co.uk/alisson/profil/spieler/105470
6,2016,Gero Rulli,Goalkeeper,28,£7.20m,Man City,Premier League,Real Sociedad,LaLiga,£6.30m,https://www.transfermarkt.co.uk/gero-rulli/profil/spieler/229604
7,2016,Ron-Robert Zieler,Goalkeeper,31,£7.20m,Hannover 96,2. Bundesliga,Leicester,Premier League,£3.15m,https://www.transfermarkt.co.uk/hannover-96/startseite/verein/42/saison_id/2016
8,2016,Salvatore Sirigu,Goalkeeper,33,£7.20m,Paris SG,Ligue 1,Sevilla FC,LaLiga,Loan,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583/saison_id/2016
9,2016,Tim Krul,Goalkeeper,32,£7.20m,Newcastle,Championship,Ajax,Eredivisie,Loan,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762/saison_id/2016
10,2016,Gero Rulli,Goalkeeper,28,£7.20m,Man City,Premier League,Real Sociedad,LaLiga,Loan,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281/saison_id/2016
11,2016,Loris Karius,Goalkeeper,27,£6.30m,1.FSV Mainz 05,Bundesliga,Liverpool,Premier League,£5.58m,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39/saison_id/2016
12,2016,Salvatore Sirigu,Goalkeeper,33,£6.30m,Paris SG,Ligue 1,CA Osasuna,LaLiga,Loan,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583/saison_id/2016
13,2016,Matz Sels,Goalkeeper,28,£5.85m,KAA Gent,Jupiler Pro League,Newcastle,Championship,£5.94m,https://www.transfermarkt.co.uk/kaa-gent/startseite/verein/157/saison_id/2016
14,2016,Tim Krul,Goalkeeper,32,£5.85m,Newcastle,Championship,AZ Alkmaar,Eredivisie,Loan,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762/saison_id/2016
15,2016,Nicola Leali,Goalkeeper,27,£5.40m,Juventus,Serie A,Olympiacos,Super League,Loan fee:,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506/saison_id/2016
16,2016,Zhen Guan,Goalkeeper,35,£225Th.,SJZ Ever Bright,League One,SZ FC,League One,£4.91m,https://www.transfermarkt.co.uk/shijiazhuang-yongchang/startseite/verein/35272/saison_id/2016
