,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2013,Simon Mignolet,Goalkeeper,32,£4.95m,Sunderland,Premier League,Liverpool,Premier League,£9.54m,https://www.transfermarkt.co.uk/simon-mignolet/profil/spieler/50219
1,2013,Pepe Reina,Goalkeeper,38,£9.00m,Liverpool,Premier League,SSC Napoli,Serie A,Loan,https://www.transfermarkt.co.uk/pepe-reina/profil/spieler/7825
2,2013,Roberto,Goalkeeper,34,£3.60m,Real Zaragoza,LaLiga2,Benfica,Liga NOS,£7.74m,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
3,2013,Vladimir Gabulov,Goalkeeper,36,£5.85m,Anzhi,Premier Liga,Dynamo Moscow,Premier Liga,£6.30m,https://www.transfermarkt.co.uk/vladimir-gabulov/profil/spieler/24131
4,2013,Emiliano Viviano,Goalkeeper,34,£6.30m,US Palermo,Serie B,Arsenal,Premier League,Loan fee:,https://www.transfermarkt.co.uk/emiliano-viviano/profil/spieler/24316
5,2013,Michael Agazzi,Goalkeeper,36,£6.30m,Cagliari Calcio,Serie A,Chievo Verona,Serie A,?,https://www.transfermarkt.co.uk/michael-agazzi/profil/spieler/28862
6,2013,Roberto,Goalkeeper,34,£3.60m,Benfica,Liga NOS,Atlético Madrid,LaLiga,£5.40m,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
7,2013,Francesco Bardi,Goalkeeper,28,£5.40m,Inter,Serie A,AS Livorno,Serie A,Loan,https://www.transfermarkt.co.uk/francesco-bardi/profil/spieler/110925
8,2013,Maarten Stekelenburg,Goalkeeper,38,£4.95m,AS Roma,Serie A,Fulham,Premier League,£5.04m,https://www.transfermarkt.co.uk/maarten-stekelenburg/profil/spieler/4311
9,2013,Nikolay Mihaylov,Goalkeeper,32,£4.95m,Twente FC,Eredivisie,Hellas Verona,Serie A,£450Th.,https://www.transfermarkt.co.uk/nikolay-mihaylov/profil/spieler/24480
10,2013,Nicola Leali,Goalkeeper,27,£4.95m,Juventus,Serie A,Spezia Calcio,Serie B,Loan fee:,https://www.transfermarkt.co.uk/nicola-leali/profil/spieler/136111
11,2013,Rafael,Goalkeeper,30,£3.60m,Santos FC,Série A,SSC Napoli,Serie A,£4.50m,https://www.transfermarkt.co.uk/rafael/profil/spieler/103916
12,2013,Sébastien Frey,Goalkeeper,40,£4.50m,Genoa,Serie A,Bursaspor,Süper Lig,?,https://www.transfermarkt.co.uk/sebastien-frey/profil/spieler/5854
13,2013,Jack Butland,Goalkeeper,27,£4.50m,Stoke City,Premier League,Barnsley FC,Championship,Loan,https://www.transfermarkt.co.uk/jack-butland/profil/spieler/128899
14,2013,Jack Butland,Goalkeeper,27,£4.50m,Stoke City,Premier League,Leeds,Championship,Loan,https://www.transfermarkt.co.uk/jack-butland/profil/spieler/128899
15,2013,Scott Carson,Goalkeeper,35,£3.78m,Bursaspor,Süper Lig,Wigan,Championship,£738Th.,https://www.transfermarkt.co.uk/scott-carson/profil/spieler/14555
16,2013,Joel Robles,Goalkeeper,30,£2.70m,Atlético Madrid,LaLiga,Everton,Premier League,£3.60m,https://www.transfermarkt.co.uk/joel-robles/profil/spieler/101118
17,2013,Beto,Goalkeeper,38,£3.60m,Braga,Liga NOS,Sevilla FC,LaLiga,£1.80m,https://www.transfermarkt.co.uk/beto/profil/spieler/35242
18,2013,Allan McGregor,Goalkeeper,38,£3.60m,Besiktas,Süper Lig,Hull City,Premier League,£1.58m,https://www.transfermarkt.co.uk/allan-mcgregor/profil/spieler/9422
19,2013,Sergio Romero,Goalkeeper,33,£3.60m,Sampdoria,Serie A,Monaco,Ligue 1,Loan,https://www.transfermarkt.co.uk/sergio-romero/profil/spieler/30690
20,2013,Roberto,Goalkeeper,34,£3.60m,Atlético Madrid,LaLiga,Olympiacos,Super League,Loan,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
21,2013,Eduardo,Goalkeeper,38,£3.33m,Genoa,Serie A,Braga,Liga NOS,Loan,https://www.transfermarkt.co.uk/eduardo/profil/spieler/34159
22,2013,Wayne Hennessey,Goalkeeper,33,£2.25m,Wolves,League One,Crystal Palace,Premier League,£3.29m,https://www.transfermarkt.co.uk/wayne-hennessey/profil/spieler/45494
23,2013,Dalei Wang,Goalkeeper,31,£360Th.,SH Greenland,Super League,SD Luneng,Super League,£3.15m,https://www.transfermarkt.co.uk/dalei-wang/profil/spieler/143068
24,2013,Tolga Zengin,Goalkeeper,36,£3.15m,Trabzonspor,Süper Lig,Besiktas,Süper Lig,£2.48m,https://www.transfermarkt.co.uk/tolga-zengin/profil/spieler/16816
25,2013,Marquinhos,Centre-Back,26,£13.50m,AS Roma,Serie A,Paris SG,Ligue 1,£28.26m,https://www.transfermarkt.co.uk/marquinhos/profil/spieler/181767
26,2013,Jesús Navas,Right-Back,34,£18.00m,Sevilla FC,LaLiga,Man City,Premier League,£18.00m,https://www.transfermarkt.co.uk/jesus-navas/profil/spieler/15956
27,2013,Juan Cuadrado,Right-Back,32,£13.50m,Udinese Calcio,Serie A,Fiorentina,Serie A,£18.00m,https://www.transfermarkt.co.uk/juan-cuadrado/profil/spieler/91970
28,2013,Mamadou Sakho,Centre-Back,30,£13.50m,Paris SG,Ligue 1,Liverpool,Premier League,£17.10m,https://www.transfermarkt.co.uk/mamadou-sakho/profil/spieler/47713
29,2013,Angelo Ogbonna,Centre-Back,32,£10.80m,Torino,Serie A,Juventus,Serie A,£13.50m,https://www.transfermarkt.co.uk/angelo-ogbonna/profil/spieler/48002
30,2013,Lucas Digne,Left-Back,27,£9.00m,LOSC Lille,Ligue 1,Paris SG,Ligue 1,£13.50m,https://www.transfermarkt.co.uk/lucas-digne/profil/spieler/126664
31,2013,Kurt Zouma,Centre-Back,25,£6.75m,Saint-Étienne,Ligue 1,Chelsea,Premier League,£13.14m,https://www.transfermarkt.co.uk/kurt-zouma/profil/spieler/157509
32,2013,Medhi Benatia,Centre-Back,33,£11.70m,Udinese Calcio,Serie A,AS Roma,Serie A,£12.15m,https://www.transfermarkt.co.uk/medhi-benatia/profil/spieler/45124
33,2013,Nicolás Otamendi,Centre-Back,32,£11.70m,FC Porto,Liga NOS,Atlético-MG,Série A,Loan,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781
34,2013,Raúl Albiol,Centre-Back,35,£7.20m,Real Madrid,LaLiga,SSC Napoli,Serie A,£10.80m,https://www.transfermarkt.co.uk/raul-albiol/profil/spieler/15452
35,2013,Aurelien Chedjou,Centre-Back,35,£10.80m,LOSC Lille,Ligue 1,Galatasaray,Süper Lig,£5.67m,https://www.transfermarkt.co.uk/aurelien-chedjou/profil/spieler/45624
36,2013,Christopher Samba,Centre-Back,36,£9.90m,QPR,Championship,Anzhi,Premier Liga,£10.44m,https://www.transfermarkt.co.uk/christopher-samba/profil/spieler/29016
37,2013,Yuri Zhirkov,Left-Back,37,£9.90m,Anzhi,Premier Liga,Dynamo Moscow,Premier Liga,£9.90m,https://www.transfermarkt.co.uk/yuri-zhirkov/profil/spieler/16760
38,2013,Christopher Samba,Centre-Back,36,£9.90m,Anzhi,Premier Liga,Dynamo Moscow,Premier Liga,£9.00m,https://www.transfermarkt.co.uk/christopher-samba/profil/spieler/29016
39,2013,Cristián Zapata,Centre-Back,34,£5.40m,Villarreal,LaLiga,AC Milan,Serie A,£9.00m,https://www.transfermarkt.co.uk/cristian-zapata/profil/spieler/34344
40,2013,Dejan Lovren,Centre-Back,31,£6.30m,Olympique Lyon,Ligue 1,Southampton,Premier League,£9.00m,https://www.transfermarkt.co.uk/dejan-lovren/profil/spieler/37838
