,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2006,Andriy Shevchenko,Centre-Forward,44,£45.90m,AC Milan,Serie A,Chelsea,Premier League,£39.49m,https://www.transfermarkt.co.uk/andriy-shevchenko/profil/spieler/3522
1,2006,Michael Ballack,Central Midfield,44,£31.50m,Bayern Munich ,Bundesliga,Chelsea,Premier League,Free transfer,https://www.transfermarkt.co.uk/michael-ballack/profil/spieler/63
2,2006,Ruud van Nistelrooy,Centre-Forward,44,£28.80m,Man Utd,Premier League,Real Madrid,LaLiga,£13.50m,https://www.transfermarkt.co.uk/ruud-van-nistelrooy/profil/spieler/3407
3,2006,Patrick Vieira,Defensive Midfield,44,£25.20m,Juventus,Serie B,Inter,Serie A,£8.55m,https://www.transfermarkt.co.uk/patrick-vieira/profil/spieler/3183
4,2006,Ronaldo,Centre-Forward,44,£24.75m,Real Madrid,LaLiga,AC Milan,Serie A,£6.75m,https://www.transfermarkt.co.uk/ronaldo/profil/spieler/3140
5,2006,Michael Carrick,Defensive Midfield,39,£23.85m,Spurs,Premier League,Man Utd,Premier League,£24.48m,https://www.transfermarkt.co.uk/michael-carrick/profil/spieler/3878
6,2006,Mahamadou Diarra,Defensive Midfield,39,£18.00m,Olympique Lyon,Ligue 1,Real Madrid,LaLiga,£23.40m,https://www.transfermarkt.co.uk/mahamadou-diarra/profil/spieler/5352
7,2006,Émerson,Defensive Midfield,44,£23.40m,Juventus,Serie B,Real Madrid,LaLiga,£14.40m,https://www.transfermarkt.co.uk/emerson/profil/spieler/70
8,2006,Gianluca Zambrotta,Right-Back,43,£23.40m,Juventus,Serie B,FC Barcelona,LaLiga,£12.60m,https://www.transfermarkt.co.uk/gianluca-zambrotta/profil/spieler/5757
9,2006,Joaquín,Right Winger,39,£19.80m,Real Betis,LaLiga,Valencia,LaLiga,£22.50m,https://www.transfermarkt.co.uk/joaquin/profil/spieler/7663
10,2006,Zlatan Ibrahimovic,Centre-Forward,39,£22.50m,Juventus,Serie B,Inter,Serie A,£22.32m,https://www.transfermarkt.co.uk/zlatan-ibrahimovic/profil/spieler/3455
11,2006,Sergio Agüero,Centre-Forward,32,£4.50m,Independiente,Torneo Final,Atlético Madrid,LaLiga,£19.53m,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399
12,2006,Fernando Gago,Defensive Midfield,34,£10.80m,Boca Juniors,Torneo Final,Real Madrid,LaLiga,£18.45m,https://www.transfermarkt.co.uk/fernando-gago/profil/spieler/38954
13,2006,John Mikel Obi,Defensive Midfield,33,-,FK Lyn,Tippeligaen,Chelsea,Premier League,£18.00m,https://www.transfermarkt.co.uk/john-mikel-obi/profil/spieler/30739
14,2006,Júlio Baptista,Attacking Midfield,39,£18.00m,Real Madrid,LaLiga,Arsenal,Premier League,Loan,https://www.transfermarkt.co.uk/julio-baptista/profil/spieler/15952
15,2006,Dirk Kuyt,Right Winger,40,£15.75m,Feyenoord,Eredivisie,Liverpool,Premier League,£16.20m,https://www.transfermarkt.co.uk/dirk-kuyt/profil/spieler/4010
16,2006,Pablo Aimar,Attacking Midfield,40,£16.20m,Valencia,LaLiga,Real Zaragoza,LaLiga,£9.90m,https://www.transfermarkt.co.uk/pablo-aimar/profil/spieler/3411
17,2006,Juan Román Riquelme,Attacking Midfield,42,£15.75m,Villarreal,LaLiga,Boca Juniors,Torneo Final,Loan fee:,https://www.transfermarkt.co.uk/juan-roman-riquelme/profil/spieler/3854
18,2006,Dimitar Berbatov,Centre-Forward,39,£15.30m,Bay. Leverkusen,Bundesliga,Spurs,Premier League,£14.13m,https://www.transfermarkt.co.uk/dimitar-berbatov/profil/spieler/65
19,2006,Ashley Cole,Left-Back,39,£15.30m,Arsenal,Premier League,Chelsea,Premier League,£6.66m,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182
20,2006,José Antonio Reyes,Right Winger,†35,£15.30m,Arsenal,Premier League,Real Madrid,LaLiga,Loan,https://www.transfermarkt.co.uk/jose-antonio-reyes/profil/spieler/7717
21,2006,Obafemi Martins,Centre-Forward,35,£10.80m,Inter,Serie A,Newcastle,Premier League,£14.40m,https://www.transfermarkt.co.uk/obafemi-martins/profil/spieler/5794
22,2006,Damien Duff,Right Midfield,41,£13.50m,Chelsea,Premier League,Newcastle,Premier League,£13.95m,https://www.transfermarkt.co.uk/damien-duff/profil/spieler/3259
23,2006,Ricardo Oliveira,Centre-Forward,40,£5.40m,Real Betis,LaLiga,AC Milan,Serie A,£13.50m,https://www.transfermarkt.co.uk/ricardo-oliveira/profil/spieler/15468
24,2006,Carlos Tévez,Second Striker,36,£13.50m,Corinthians,Série A,West Ham,Premier League,£13.14m,https://www.transfermarkt.co.uk/carlos-tevez/profil/spieler/4276
25,2006,Costinha,Defensive Midfield,45,£13.50m,Dynamo Moscow,Premier Liga,Atlético Madrid,LaLiga,£5.40m,https://www.transfermarkt.co.uk/costinha/profil/spieler/9826
26,2006,Sébastien Frey,Goalkeeper,40,£13.50m,Parma,Serie A,Fiorentina,Serie A,£5.18m,https://www.transfermarkt.co.uk/sebastien-frey/profil/spieler/5854
27,2006,William Gallas,Centre-Back,43,£13.23m,Chelsea,Premier League,Arsenal,Premier League,Free transfer,https://www.transfermarkt.co.uk/william-gallas/profil/spieler/3156
28,2006,Javier Mascherano,Defensive Midfield,36,£10.62m,Corinthians,Série A,West Ham,Premier League,£13.14m,https://www.transfermarkt.co.uk/javier-mascherano/profil/spieler/19981
