,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,1999,Christian Vieri,Centre-Forward,47,-,Lazio,Serie A,Inter,Serie A,£41.83m,https://www.transfermarkt.co.uk/christian-vieri/profil/spieler/5797
1,1999,Nicolas Anelka,Centre-Forward,41,-,Arsenal,Premier League,Real Madrid,LaLiga,£31.50m,https://www.transfermarkt.co.uk/nicolas-anelka/profil/spieler/3226
2,1999,Juan Sebastián Verón,Central Midfield,45,-,AC Parma,Serie A,Lazio,Serie A,£27.00m,https://www.transfermarkt.co.uk/juan-sebastian-veron/profil/spieler/3143
3,1999,Márcio Amoroso,Centre-Forward,46,-,Udinese,Serie A,AC Parma,Serie A,£25.20m,https://www.transfermarkt.co.uk/marcio-amoroso/profil/spieler/1263
4,1999,Vincenzo Montella,Centre-Forward,46,-,Sampdoria,Serie B,AS Roma,Serie A,£23.24m,https://www.transfermarkt.co.uk/vincenzo-montella/profil/spieler/5960
5,1999,Clarence Seedorf,Central Midfield,44,-,Real Madrid,LaLiga,Inter,Serie A,£21.61m,https://www.transfermarkt.co.uk/clarence-seedorf/profil/spieler/4168
6,1999,Andriy Shevchenko,Centre-Forward,44,-,Dynamo Kyiv,Vyshcha Liga,Milan,Serie A,£21.52m,https://www.transfermarkt.co.uk/andriy-shevchenko/profil/spieler/3522
7,1999,Hidetoshi Nakata,Attacking Midfield,43,-,Perugia,Serie A,AS Roma,Serie A,£19.52m,https://www.transfermarkt.co.uk/hidetoshi-nakata/profil/spieler/5875
8,1999,Elvir Baljic,Left Winger,46,-,Fenerbahce,Süper Lig,Real Madrid,LaLiga,£18.90m,https://www.transfermarkt.co.uk/elvir-baljic/profil/spieler/6900
9,1999,José Mari,Centre-Forward,41,-,Atlético Madrid,LaLiga,Milan,Serie A,£17.10m,https://www.transfermarkt.co.uk/jose-mari/profil/spieler/6194
10,1999,Angelo Peruzzi,Goalkeeper,50,-,Juventus,Serie A,Inter,Serie A,£17.10m,https://www.transfermarkt.co.uk/angelo-peruzzi/profil/spieler/5826
11,1999,Sonny Anderson,Centre-Forward,50,-,FC Barcelona,LaLiga,Olympique Lyon,Ligue 1,£17.10m,https://www.transfermarkt.co.uk/sonny-anderson/profil/spieler/3500
12,1999,Darko Kovacevic,Centre-Forward,46,-,Real Sociedad,LaLiga,Juventus,Serie A,£15.30m,https://www.transfermarkt.co.uk/darko-kovacevic/profil/spieler/7479
13,1999,Jimmy Floyd Hasselbaink,Centre-Forward,48,-,Leeds,Premier League,Atlético Madrid,LaLiga,£15.03m,https://www.transfermarkt.co.uk/jimmy-floyd-hasselbaink/profil/spieler/3175
14,1999,Emile Heskey,Centre-Forward,42,-,Leicester,Premier League,Liverpool,Premier League,£14.85m,https://www.transfermarkt.co.uk/emile-heskey/profil/spieler/3142
15,1999,Thierry Henry,Centre-Forward,43,-,Juventus,Serie A,Arsenal,Premier League,£14.49m,https://www.transfermarkt.co.uk/thierry-henry/profil/spieler/3207
16,1999,Ousmane Dabo,Defensive Midfield,43,-,Inter,Serie A,AC Parma,Serie A,£13.94m,https://www.transfermarkt.co.uk/ousmane-dabo/profil/spieler/3904
17,1999,Dani García,Centre-Forward,45,-,RCD Mallorca,LaLiga,FC Barcelona,LaLiga,£13.50m,https://www.transfermarkt.co.uk/dani-garcia/profil/spieler/7608
18,1999,Iván Córdoba,Centre-Back,44,-,San Lorenzo,Torneo Inicial,Inter,Serie A,£12.60m,https://www.transfermarkt.co.uk/club-atletico-san-lorenzo-de-almagro/startseite/verein/1775/saison_id/1999
19,1999,Zlatko Zahovic,Attacking Midfield,49,-,FC Porto,Liga NOS,Olympiacos,A' Ethniki,£12.15m,https://www.transfermarkt.co.uk/fc-porto/startseite/verein/720/saison_id/1999
20,1999,Dietmar Hamann,Defensive Midfield,47,-,Newcastle,Premier League,Liverpool,Premier League,£10.80m,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762/saison_id/1999
21,1999,Predrag Mijatović,Centre-Forward,51,-,Real Madrid,LaLiga,Fiorentina,Serie A,£10.80m,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418/saison_id/1999
22,1999,Giovanni,Centre-Forward,48,-,FC Barcelona,LaLiga,Olympiacos,A' Ethniki,£10.80m,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131/saison_id/1999
23,1999,Diego Simeone,Central Midfield,50,-,Inter,Serie A,Lazio,Serie A,£9.81m,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46/saison_id/1999
24,1999,Rubén Baraja,Central Midfield,45,-,Atlético Madrid,LaLiga,Valencia,LaLiga,£9.72m,https://www.transfermarkt.co.uk/ruben-baraja/profil/spieler/4191
25,1999,Enrico Chiesa,Centre-Forward,49,-,AC Parma,Serie A,Fiorentina,Serie A,£9.63m,https://www.transfermarkt.co.uk/enrico-chiesa/profil/spieler/7329
26,1999,Stéphane Dalmat,Central Midfield,41,-,Lens,Ligue 1,Marseille,Ligue 1,£9.54m,https://www.transfermarkt.co.uk/stephane-dalmat/profil/spieler/7259
27,1999,Roberto Muzzi,Centre-Forward,49,-,Cagliari Calcio,Serie A,Udinese,Serie A,£9.00m,https://www.transfermarkt.co.uk/roberto-muzzi/profil/spieler/5900
28,1999,Sunday Oliseh,Defensive Midfield,46,-,Ajax,KPN Telecomp.,Juventus,Serie A,£9.00m,https://www.transfermarkt.co.uk/sunday-oliseh/profil/spieler/127
29,1999,Stefano Fiore,Attacking Midfield,45,-,AC Parma,Serie A,Udinese,Serie A,£8.73m,https://www.transfermarkt.co.uk/stefano-fiore/profil/spieler/5842
