,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2019,Jasper Cillessen,Goalkeeper,31,£16.20m,FC Barcelona,LaLiga,Valencia,LaLiga,£31.50m,https://www.transfermarkt.co.uk/jasper-cillessen/profil/spieler/146227
1,2019,Alex Meret,Goalkeeper,23,£22.50m,Udinese Calcio,Serie A,SSC Napoli,Serie A,£23.40m,https://www.transfermarkt.co.uk/alex-meret/profil/spieler/240414
2,2019,Neto,Goalkeeper,31,£16.20m,Valencia,LaLiga,FC Barcelona,LaLiga,£23.40m,https://www.transfermarkt.co.uk/neto/profil/spieler/111819
3,2019,Pau López,Goalkeeper,25,£18.00m,Real Betis,LaLiga,AS Roma,Serie A,£21.15m,https://www.transfermarkt.co.uk/pau-lopez/profil/spieler/286415
4,2019,Emil Audero,Goalkeeper,23,£13.50m,Juventus,Serie A,Sampdoria,Serie A,£18.00m,https://www.transfermarkt.co.uk/emil-audero/profil/spieler/256339
5,2019,Alphonse Areola,Goalkeeper,27,£15.75m,Paris SG,Ligue 1,Real Madrid,LaLiga,Loan fee:,https://www.transfermarkt.co.uk/alphonse-areola/profil/spieler/120629
6,2019,Benjamin Lecomte,Goalkeeper,29,£15.30m,Montpellier,Ligue 1,Monaco,Ligue 1,£12.15m,https://www.transfermarkt.co.uk/benjamin-lecomte/profil/spieler/127181
7,2019,Alban Lafont,Goalkeeper,21,£15.30m,Fiorentina,Serie A,FC Nantes,Ligue 1,Loan fee:,https://www.transfermarkt.co.uk/alban-lafont/profil/spieler/357117
8,2019,Keylor Navas,Goalkeeper,33,£9.00m,Real Madrid,LaLiga,Paris SG,Ligue 1,£13.50m,https://www.transfermarkt.co.uk/keylor-navas/profil/spieler/79422
9,2019,Ionut Radu,Goalkeeper,23,£13.50m,Genoa,Serie A,Inter,Serie A,£9.54m,https://www.transfermarkt.co.uk/ionut-radu/profil/spieler/303657
10,2019,Ionut Radu,Goalkeeper,23,£13.50m,Inter,Serie A,Genoa,Serie A,£7.20m,https://www.transfermarkt.co.uk/ionut-radu/profil/spieler/303657
