,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2020,Edouard Mendy,Goalkeeper,28,£6.30m,Stade Rennais,Ligue 1,Chelsea,Premier League,£21.60m,https://www.transfermarkt.co.uk/edouard-mendy/profil/spieler/442531
1,2020,Aaron Ramsdale,Goalkeeper,22,£11.25m,Bournemouth,Championship,Sheff Utd,Premier League,£18.45m,https://www.transfermarkt.co.uk/aaron-ramsdale/profil/spieler/427568
2,2020,Emiliano Martínez,Goalkeeper,28,£7.20m,Arsenal,Premier League,Aston Villa,Premier League,£15.66m,https://www.transfermarkt.co.uk/emiliano-martinez/profil/spieler/111873
3,2020,Alphonse Areola,Goalkeeper,27,£11.70m,Paris SG,Ligue 1,Fulham,Premier League,Loan,https://www.transfermarkt.co.uk/alphonse-areola/profil/spieler/120629
4,2020,Alfred Gomis,Goalkeeper,27,£2.16m,Dijon,Ligue 1,Stade Rennais,Ligue 1,£9.00m,https://www.transfermarkt.co.uk/alfred-gomis/profil/spieler/163568
5,2020,Alexander Nübel,Goalkeeper,24,£8.55m,FC Schalke 04,Bundesliga,Bayern Munich ,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/alexander-nubel/profil/spieler/195778
6,2020,Sergio Rico,Goalkeeper,27,£7.20m,Sevilla FC,LaLiga,Paris SG,Ligue 1,£5.40m,https://www.transfermarkt.co.uk/sergio-rico/profil/spieler/207302
7,2020,Gero Rulli,Goalkeeper,28,£7.20m,Real Sociedad,LaLiga,Villarreal,LaLiga,£4.50m,https://www.transfermarkt.co.uk/gero-rulli/profil/spieler/229604
8,2020,Paul Bernardoni,Goalkeeper,23,£4.95m,G. Bordeaux,Ligue 1,SCO Angers,Ligue 1,£6.75m,https://www.transfermarkt.co.uk/paul-bernardoni/profil/spieler/318507
9,2020,Alexander Schwolow,Goalkeeper,28,£6.30m,SC Freiburg,Bundesliga,Hertha BSC,Bundesliga,£6.30m,https://www.transfermarkt.co.uk/alexander-schwolow/profil/spieler/93763
10,2020,Ivo Grbic,Goalkeeper,24,£1.80m,NK Lokomotiva,1.HNL,Atlético Madrid,LaLiga,£6.30m,https://www.transfermarkt.co.uk/ivo-grbic/profil/spieler/226073
11,2020,Illan Meslier,Goalkeeper,20,£4.05m,FC Lorient,Ligue 1,Leeds,Premier League,£5.85m,https://www.transfermarkt.co.uk/illan-meslier/profil/spieler/542586
12,2020,Jonas Omlin,Goalkeeper,26,£4.32m,FC Basel,Super League,Montpellier,Ligue 1,£5.40m,https://www.transfermarkt.co.uk/jonas-omlin/profil/spieler/247915
13,2020,Luigi Sepe,Goalkeeper,29,£5.40m,SSC Napoli,Serie A,Parma,Serie A,£4.12m,https://www.transfermarkt.co.uk/luigi-sepe/profil/spieler/99254
14,2020,Jeroen Zoet,Goalkeeper,29,£4.95m,PSV Eindhoven,Eredivisie,Spezia Calcio,Serie A,£1.35m,https://www.transfermarkt.co.uk/jeroen-zoet/profil/spieler/79045
15,2020,Vasilios Barkas,Goalkeeper,26,£2.16m,AEK Athens,Super League 1,Celtic,Premiership,£4.50m,https://www.transfermarkt.co.uk/vasilios-barkas/profil/spieler/248658
16,2020,Orestis Karnezis,Goalkeeper,35,£450Th.,SSC Napoli,Serie A,LOSC Lille,Ligue 1,£4.50m,https://www.transfermarkt.co.uk/orestis-karnezis/profil/spieler/16408
17,2020,Wuilker Fariñez,Goalkeeper,22,£4.05m,Millonarios,Liga DIMAYOR I,Lens,Ligue 1,Loan,https://www.transfermarkt.co.uk/wuilker-farinez/profil/spieler/373714
18,2020,Kamil Grabara,Goalkeeper,21,£4.05m,Liverpool U23,Premier League 2,Aarhus GF,Superligaen,Loan,https://www.transfermarkt.co.uk/kamil-grabara/profil/spieler/346551
19,2020,Gregor Kobel,Goalkeeper,22,£3.60m,TSG Hoffenheim,Bundesliga,VfB Stuttgart,Bundesliga,£3.60m,https://www.transfermarkt.co.uk/gregor-kobel/profil/spieler/257814
20,2020,Bono,Goalkeeper,29,£2.70m,Girona,LaLiga2,Sevilla FC,LaLiga,£3.60m,https://www.transfermarkt.co.uk/bono/profil/spieler/207834
21,2020,Florian Müller,Goalkeeper,22,£3.60m,1.FSV Mainz 05,Bundesliga,SC Freiburg,Bundesliga,Loan fee:,https://www.transfermarkt.co.uk/florian-muller/profil/spieler/284769
22,2020,Etrit Berisha,Goalkeeper,31,£2.16m,Atalanta,Serie A,SPAL,Serie B,£3.15m,https://www.transfermarkt.co.uk/etrit-berisha/profil/spieler/77825
23,2020,Freddie Woodman,Goalkeeper,23,£2.88m,Newcastle,Premier League,Swansea,Championship,Loan,https://www.transfermarkt.co.uk/freddie-woodman/profil/spieler/226049
24,2020,Léo Jardim,Goalkeeper,25,£2.88m,LOSC Lille,Ligue 1,Boavista,Liga NOS,Loan,https://www.transfermarkt.co.uk/leo-jardim/profil/spieler/288415
25,2020,Rúben Dias,Centre-Back,23,£31.50m,Benfica,Liga NOS,Man City,Premier League,£61.20m,https://www.transfermarkt.co.uk/ruben-dias/profil/spieler/258004
26,2020,Ben Chilwell,Left-Back,23,£36.00m,Leicester,Premier League,Chelsea,Premier League,£45.18m,https://www.transfermarkt.co.uk/ben-chilwell/profil/spieler/316125
27,2020,Nathan Aké,Centre-Back,25,£25.20m,Bournemouth,Championship,Man City,Premier League,£40.77m,https://www.transfermarkt.co.uk/nathan-ake/profil/spieler/177476
28,2020,Nélson Semedo,Right-Back,26,£36.00m,FC Barcelona,LaLiga,Wolves,Premier League,£27.00m,https://www.transfermarkt.co.uk/nelson-semedo/profil/spieler/231572
29,2020,Alex Telles,Left-Back,27,£36.00m,FC Porto,Liga NOS,Man Utd,Premier League,£13.50m,https://www.transfermarkt.co.uk/alex-telles/profil/spieler/255755
30,2020,Wesley Fofana,Centre-Back,19,£9.00m,Saint-Étienne,Ligue 1,Leicester,Premier League,£31.50m,https://www.transfermarkt.co.uk/wesley-fofana/profil/spieler/475411
31,2020,Sergio Reguilón,Left-Back,23,£22.50m,Real Madrid,LaLiga,Spurs,Premier League,£27.00m,https://www.transfermarkt.co.uk/sergio-reguilon/profil/spieler/282429
32,2020,Ben Godfrey,Centre-Back,22,£14.40m,Norwich,Championship,Everton,Premier League,£24.75m,https://www.transfermarkt.co.uk/ben-godfrey/profil/spieler/343475
33,2020,Gabriel,Centre-Back,22,£18.00m,LOSC Lille,Ligue 1,Arsenal,Premier League,£23.40m,https://www.transfermarkt.co.uk/gabriel/profil/spieler/435338
