,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2018,Kepa,Goalkeeper,26,£18.00m,Athletic,LaLiga,Chelsea,Premier League,£72.00m,https://www.transfermarkt.co.uk/kepa/profil/spieler/192279
1,2018,Thibaut Courtois,Goalkeeper,28,£58.50m,Chelsea,Premier League,Real Madrid,LaLiga,£31.50m,https://www.transfermarkt.co.uk/thibaut-courtois/profil/spieler/108390
2,2018,Alisson,Goalkeeper,28,£54.00m,AS Roma,Serie A,Liverpool,Premier League,£56.25m,https://www.transfermarkt.co.uk/alisson/profil/spieler/105470
3,2018,Bernd Leno,Goalkeeper,28,£18.00m,Bay. Leverkusen,Bundesliga,Arsenal,Premier League,£22.50m,https://www.transfermarkt.co.uk/bernd-leno/profil/spieler/72476
4,2018,Rui Patrício,Goalkeeper,32,£14.40m,Sporting CP,Liga NOS,Wolves,Premier League,£16.20m,https://www.transfermarkt.co.uk/rui-patricio/profil/spieler/45026
5,2018,Alban Lafont,Goalkeeper,21,£16.20m,Toulouse,Ligue 1,Fiorentina,Serie A,£7.20m,https://www.transfermarkt.co.uk/alban-lafont/profil/spieler/357117
6,2018,Mattia Perin,Goalkeeper,27,£14.40m,Genoa,Serie A,Juventus,Serie A,£12.78m,https://www.transfermarkt.co.uk/mattia-perin/profil/spieler/110923
7,2018,Danny Ward,Goalkeeper,27,£2.25m,Liverpool,Premier League,Leicester,Premier League,£12.60m,https://www.transfermarkt.co.uk/danny-ward/profil/spieler/203026
8,2018,Loris Karius,Goalkeeper,27,£10.80m,Liverpool,Premier League,Besiktas,Süper Lig,Loan fee:,https://www.transfermarkt.co.uk/loris-karius/profil/spieler/85864
9,2018,Alex Meret,Goalkeeper,23,£10.80m,Udinese Calcio,Serie A,SSC Napoli,Serie A,Loan,https://www.transfermarkt.co.uk/alex-meret/profil/spieler/240414
10,2018,Sergio Rico,Goalkeeper,27,£10.80m,Sevilla FC,LaLiga,Fulham,Premier League,Loan,https://www.transfermarkt.co.uk/sergio-rico/profil/spieler/207302
11,2018,Angus Gunn,Goalkeeper,24,£1.80m,Man City,Premier League,Southampton,Premier League,£10.17m,https://www.transfermarkt.co.uk/angus-gunn/profil/spieler/201574
12,2018,Joe Hart,Goalkeeper,33,£9.00m,Man City,Premier League,Burnley,Premier League,£3.51m,https://www.transfermarkt.co.uk/joe-hart/profil/spieler/40204
13,2018,Lukas Hradecky,Goalkeeper,30,£9.00m,E. Frankfurt,Bundesliga,Bay. Leverkusen,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/lukas-hradecky/profil/spieler/48015
14,2018,Lukasz Skorupski,Goalkeeper,29,£6.30m,AS Roma,Serie A,Bologna,Serie A,£8.10m,https://www.transfermarkt.co.uk/lukasz-skorupski/profil/spieler/80894
