,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2008,Marco Amelia,Goalkeeper,38,£10.80m,AS Livorno,Serie B,US Palermo,Serie A,£5.40m,https://www.transfermarkt.co.uk/marco-amelia/profil/spieler/16810
1,2008,Heurelho Gomes,Goalkeeper,39,£6.75m,PSV Eindhoven,Eredivisie,Spurs,Premier League,£8.10m,https://www.transfermarkt.co.uk/heurelho-gomes/profil/spieler/19059
2,2008,Shay Given,Goalkeeper,44,£6.75m,Newcastle,Premier League,Man City,Premier League,£8.10m,https://www.transfermarkt.co.uk/shay-given/profil/spieler/3146
3,2008,Hugo Lloris,Goalkeeper,33,£7.65m,OGC Nice,Ligue 1,Olympique Lyon,Ligue 1,£7.65m,https://www.transfermarkt.co.uk/hugo-lloris/profil/spieler/17965
4,2008,Juan Pablo Carrizo,Goalkeeper,36,£4.77m,River Plate,Torneo Final,Lazio,Serie A,£6.75m,https://www.transfermarkt.co.uk/juan-pablo-carrizo/profil/spieler/39118
5,2008,Federico Marchetti,Goalkeeper,37,£900Th.,UC AlbinoLeffe,Serie B,Cagliari Calcio,Serie A,£6.03m,https://www.transfermarkt.co.uk/federico-marchetti/profil/spieler/22318
6,2008,Scott Carson,Goalkeeper,35,£5.40m,Liverpool,Premier League,West Brom,Premier League,£3.60m,https://www.transfermarkt.co.uk/scott-carson/profil/spieler/14555
7,2008,Steve Mandanda,Goalkeeper,35,£5.40m,AC Le Havre,Ligue 1,Marseille,Ligue 1,£2.25m,https://www.transfermarkt.co.uk/steve-mandanda/profil/spieler/23951
8,2008,Grégory Coupet,Goalkeeper,47,£5.40m,Olympique Lyon,Ligue 1,Atlético Madrid,LaLiga,£1.80m,https://www.transfermarkt.co.uk/gregory-coupet/profil/spieler/3910
9,2008,Renan,Goalkeeper,35,£1.53m,Internacional,Série A,Valencia,LaLiga,£4.50m,https://www.transfermarkt.co.uk/renan/profil/spieler/27364
10,2008,Paul Robinson,Goalkeeper,40,£4.50m,Spurs,Premier League,Blackburn,Premier League,£3.96m,https://www.transfermarkt.co.uk/paul-robinson/profil/spieler/3630
11,2008,Sebastián Saja,Goalkeeper,41,£4.05m,San Lorenzo,Torneo Final,AEK Athens,Super League,Free transfer,https://www.transfermarkt.co.uk/sebastian-saja/profil/spieler/3777
12,2008,Diego Cavalieri,Goalkeeper,37,£1.08m,Palmeiras,Série A,Liverpool,Premier League,£3.96m,https://www.transfermarkt.co.uk/diego-cavalieri/profil/spieler/53231
13,2008,Morgan De Sanctis,Goalkeeper,43,£3.96m,Sevilla FC,LaLiga,Galatasaray,Süper Lig,Loan fee:,https://www.transfermarkt.co.uk/morgan-de-sanctis/profil/spieler/5880
14,2008,Nicolas Douchez,Goalkeeper,40,£3.60m,Toulouse,Ligue 1,Stade Rennais,Ligue 1,£1.80m,https://www.transfermarkt.co.uk/nicolas-douchez/profil/spieler/18036
15,2008,Ferdinando Coppola,Goalkeeper,42,£3.60m,AC Milan,Serie A,Atalanta,Serie A,£810Th.,https://www.transfermarkt.co.uk/ferdinando-coppola/profil/spieler/5986
16,2008,Tony Sylva,Goalkeeper,45,£3.60m,LOSC Lille,Ligue 1,Trabzonspor,Süper Lig,£540Th.,https://www.transfermarkt.co.uk/tony-sylva/profil/spieler/5282
17,2008,Simon Pouplin,Goalkeeper,35,£3.60m,Stade Rennais,Ligue 1,SC Freiburg,2. Bundesliga,£360Th.,https://www.transfermarkt.co.uk/simon-pouplin/profil/spieler/24105
18,2008,Timo Hildebrand,Goalkeeper,41,£3.60m,Valencia,LaLiga,TSG Hoffenheim,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/timo-hildebrand/profil/spieler/598
19,2008,Mark Schwarzer,Goalkeeper,48,£3.38m,Middlesbrough,Premier League,Fulham,Premier League,Free transfer,https://www.transfermarkt.co.uk/mark-schwarzer/profil/spieler/3357
20,2008,Brad Friedel,Goalkeeper,49,£3.15m,Blackburn,Premier League,Aston Villa,Premier League,£2.25m,https://www.transfermarkt.co.uk/brad-friedel/profil/spieler/3476
21,2008,David Cobeño,Goalkeeper,38,£2.88m,Sevilla FC,LaLiga,Rayo Vallecano,LaLiga2,Free transfer,https://www.transfermarkt.co.uk/david-cobeno/profil/spieler/37906
22,2008,Andreas Isaksson,Goalkeeper,39,£2.70m,Man City,Premier League,PSV Eindhoven,Eredivisie,£2.52m,https://www.transfermarkt.co.uk/andreas-isaksson/profil/spieler/6590
23,2008,Logan Bailly,Goalkeeper,34,£2.70m,KRC Genk,Jupiler Pro League,Bor. M'gladbach,Bundesliga,£2.25m,https://www.transfermarkt.co.uk/logan-bailly/profil/spieler/13021
24,2008,Cédric Carrasso,Goalkeeper,38,£2.70m,Marseille,Ligue 1,Toulouse,Ligue 1,£2.25m,https://www.transfermarkt.co.uk/cedric-carrasso/profil/spieler/5308
25,2008,Dani Alves,Right-Back,37,£18.00m,Sevilla FC,LaLiga,FC Barcelona,LaLiga,£31.95m,https://www.transfermarkt.co.uk/dani-alves/profil/spieler/15951
26,2008,Bosingwa,Right-Back,38,£15.30m,FC Porto,Liga NOS,Chelsea,Premier League,£18.45m,https://www.transfermarkt.co.uk/bosingwa/profil/spieler/9813
27,2008,Martín Cáceres,Centre-Back,33,£5.40m,Villarreal,LaLiga,FC Barcelona,LaLiga,£14.85m,https://www.transfermarkt.co.uk/martin-caceres/profil/spieler/54935
28,2008,Gianluca Zambrotta,Right-Back,43,£14.40m,FC Barcelona,LaLiga,AC Milan,Serie A,£9.45m,https://www.transfermarkt.co.uk/gianluca-zambrotta/profil/spieler/5757
29,2008,Sébastien Squillaci,Centre-Back,40,£13.50m,Olympique Lyon,Ligue 1,Sevilla FC,LaLiga,£5.85m,https://www.transfermarkt.co.uk/sebastien-squillaci/profil/spieler/5293
30,2008,Andrea Barzagli,Centre-Back,39,£9.90m,US Palermo,Serie A,VfL Wolfsburg,Bundesliga,£12.60m,https://www.transfermarkt.co.uk/andrea-barzagli/profil/spieler/7109
31,2008,Vedran Corluka,Centre-Back,34,£10.35m,Man City,Premier League,Spurs,Premier League,£12.38m,https://www.transfermarkt.co.uk/vedran-corluka/profil/spieler/34393
