,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2007,Craig Gordon,Goalkeeper,37,£1.58m,Heart of Midl.,Premiership,Sunderland,Premier League,£9.74m,https://www.transfermarkt.co.uk/craig-gordon/profil/spieler/12589
1,2007,Timo Hildebrand,Goalkeeper,41,£7.20m,VfB Stuttgart,Bundesliga,Valencia,LaLiga,Free transfer,https://www.transfermarkt.co.uk/timo-hildebrand/profil/spieler/598
2,2007,Morgan De Sanctis,Goalkeeper,43,£7.20m,Udinese,Serie A,Sevilla FC,LaLiga,Free transfer,https://www.transfermarkt.co.uk/morgan-de-sanctis/profil/spieler/5880
3,2007,Diego López,Goalkeeper,38,£2.48m,Real Madrid,LaLiga,Villarreal,LaLiga,£6.30m,https://www.transfermarkt.co.uk/diego-lopez/profil/spieler/34370
4,2007,Óscar Ustari,Goalkeeper,34,£5.40m,Independiente,Torneo Final,Getafe,LaLiga,£5.40m,https://www.transfermarkt.co.uk/oscar-ustari/profil/spieler/3755
5,2007,Raphael Schäfer,Goalkeeper,41,£4.50m,1.FC Nuremberg,Bundesliga,VfB Stuttgart,Bundesliga,£1.80m,https://www.transfermarkt.co.uk/raphael-schafer/profil/spieler/1150
6,2007,Charles Itandje,Goalkeeper,37,£4.05m,Lens,Ligue 1,Liverpool,Premier League,£1.35m,https://www.transfermarkt.co.uk/charles-itandje/profil/spieler/5470
7,2007,Christian Abbiati,Goalkeeper,43,£4.05m,AC Milan,Serie A,Atlético Madrid,LaLiga,Loan fee:,https://www.transfermarkt.co.uk/christian-abbiati/profil/spieler/3507
8,2007,Lukasz Fabianski,Goalkeeper,35,£3.92m,Legia Warszawa,Ekstraklasa,Arsenal,Premier League,£3.92m,https://www.transfermarkt.co.uk/lukasz-fabianski/profil/spieler/29692
9,2007,Tomasz Kuszczak,Goalkeeper,38,£3.06m,West Brom,Championship,Man Utd,Premier League,£3.87m,https://www.transfermarkt.co.uk/tomasz-kuszczak/profil/spieler/1320
10,2007,Ricardo,Goalkeeper,44,£3.87m,Sporting CP,Liga NOS,Real Betis,LaLiga,£3.60m,https://www.transfermarkt.co.uk/ricardo/profil/spieler/13867
11,2007,Tim Howard,Goalkeeper,41,£2.48m,Man Utd,Premier League,Everton,Premier League,£3.78m,https://www.transfermarkt.co.uk/tim-howard/profil/spieler/4267
12,2007,Gorka Iraizoz,Goalkeeper,39,£1.26m,Espanyol,LaLiga,Athletic,LaLiga,£3.60m,https://www.transfermarkt.co.uk/gorka-iraizoz/profil/spieler/7874
13,2007,Vedran Runje,Goalkeeper,44,£3.06m,Besiktas,Süper Lig,Lens,Ligue 1,£900Th.,https://www.transfermarkt.co.uk/vedran-runje/profil/spieler/5310
14,2007,Nicolás Navarro,Goalkeeper,35,£1.64m,Argentinos Jrs.,Torneo Final,SSC Napoli,Serie A,£3.03m,https://www.transfermarkt.co.uk/nicolas-navarro/profil/spieler/26727
15,2007,Boy Waterman,Goalkeeper,36,£720Th.,Heerenveen,Eredivisie,AZ Alkmaar,Eredivisie,£2.70m,https://www.transfermarkt.co.uk/boy-waterman/profil/spieler/4391
16,2007,Javier López Vallejo,Goalkeeper,45,£2.70m,Villarreal,LaLiga,Real Zaragoza,LaLiga,Free transfer,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050/saison_id/2007
17,2007,Albano Bizzarri,Goalkeeper,42,£2.48m,Gimnàstic,Liga BBVA,Catania,Serie A,?,https://www.transfermarkt.co.uk/gimnastic-de-tarragona/startseite/verein/5648/saison_id/2007
18,2007,Faryd Mondragón,Goalkeeper,49,£2.45m,Galatasaray,Süper Lig,1. FC Köln,2. Bundesliga,£360Th.,https://www.transfermarkt.co.uk/galatasaray-istanbul/startseite/verein/141/saison_id/2007
19,2007,Diego Alves,Goalkeeper,35,£360Th.,Atlético-MG,Série A,UD Almería,LaLiga,£2.25m,https://www.transfermarkt.co.uk/atletico-mineiro/startseite/verein/330/saison_id/2007
20,2007,Gábor Király,Goalkeeper,44,£2.25m,Crystal Palace,Championship,Burnley,Championship,Free transfer,https://www.transfermarkt.co.uk/crystal-palace/startseite/verein/873/saison_id/2007
21,2007,Jaroslav Drobny,Goalkeeper,40,£2.25m,VfL Bochum,Bundesliga,Hertha BSC,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80/saison_id/2007
22,2007,Jimmy Nielsen,Goalkeeper,43,£2.25m,Aalborg BK,SAS Ligaen,Leicester,Championship,Free transfer,https://www.transfermarkt.co.uk/aalborg-bk/startseite/verein/1053/saison_id/2007
23,2007,Nuno Espírito Santo,Goalkeeper,46,£2.25m,Desportivo Aves,Liga Pro,FC Porto,Liga NOS,Free transfer,https://www.transfermarkt.co.uk/desportivo-aves/startseite/verein/3336/saison_id/2007
24,2007,Pepe,Centre-Back,37,£27.00m,FC Porto,Liga NOS,Real Madrid,LaLiga,£27.00m,https://www.transfermarkt.co.uk/pepe/profil/spieler/14132
25,2007,Gabriel Milito,Centre-Back,40,£12.60m,Real Zaragoza,LaLiga,FC Barcelona,LaLiga,£18.00m,https://www.transfermarkt.co.uk/gabriel-milito/profil/spieler/7968
26,2007,Cristian Chivu,Centre-Back,39,£13.50m,AS Roma,Serie A,Inter,Serie A,£14.40m,https://www.transfermarkt.co.uk/cristian-chivu/profil/spieler/4314
27,2007,Éric Abidal,Left-Back,41,£12.15m,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,£13.50m,https://www.transfermarkt.co.uk/eric-abidal/profil/spieler/5283
28,2007,Cicinho,Right-Back,40,£13.50m,Real Madrid,LaLiga,AS Roma,Serie A,£9.90m,https://www.transfermarkt.co.uk/cicinho/profil/spieler/26101
29,2007,Marcell Jansen,Left-Back,34,£9.00m,Bor. M'gladbach,2. Bundesliga,Bayern Munich ,Bundesliga,£12.60m,https://www.transfermarkt.co.uk/marcell-jansen/profil/spieler/16624
30,2007,Vedran Corluka,Centre-Back,34,£3.69m,Dinamo Zagreb,1.HNL,Man City,Premier League,£11.70m,https://www.transfermarkt.co.uk/vedran-corluka/profil/spieler/34393
31,2007,Alan Hutton,Right-Back,35,£7.20m,Rangers,Premiership,Spurs,Premier League,£11.70m,https://www.transfermarkt.co.uk/alan-hutton/profil/spieler/9619
32,2007,Gabriel Heinze,Centre-Back,42,£11.70m,Man Utd,Premier League,Real Madrid,LaLiga,£10.80m,https://www.transfermarkt.co.uk/gabriel-heinze/profil/spieler/5555
33,2007,Jorge Andrade,Centre-Back,42,£11.25m,Dep. La Coruña,LaLiga,Juventus,Serie A,£9.00m,https://www.transfermarkt.co.uk/jorge-andrade/profil/spieler/7491
34,2007,Younès Kaboul,Centre-Back,34,£6.75m,AJ Auxerre,Ligue 1,Spurs,Premier League,£10.80m,https://www.transfermarkt.co.uk/younes-kaboul/profil/spieler/27114
35,2007,Breno,Centre-Back,30,£10.80m,São Paulo,Série A,Bayern Munich ,Bundesliga,£10.80m,https://www.transfermarkt.co.uk/breno/profil/spieler/52947
36,2007,Branislav Ivanovic,Centre-Back,36,£10.80m,Loko Moscow,Premier Liga,Chelsea,Premier League,£10.80m,https://www.transfermarkt.co.uk/branislav-ivanovic/profil/spieler/36827
37,2007,Juan,Centre-Back,41,£10.80m,Bay. Leverkusen,Bundesliga,AS Roma,Serie A,£5.67m,https://www.transfermarkt.co.uk/juan/profil/spieler/1599
38,2007,Jonathan Woodgate,Centre-Back,40,£9.90m,Real Madrid,LaLiga,Middlesbrough,Premier League,£8.64m,https://www.transfermarkt.co.uk/jonathan-woodgate/profil/spieler/3224
39,2007,Jonathan Woodgate,Centre-Back,40,£6.75m,Middlesbrough,Premier League,Spurs,Premier League,£9.72m,https://www.transfermarkt.co.uk/jonathan-woodgate/profil/spieler/3224
40,2007,Julien Faubert,Right-Back,37,£9.45m,G. Bordeaux,Ligue 1,West Ham,Premier League,£8.24m,https://www.transfermarkt.co.uk/julien-faubert/profil/spieler/18093
41,2007,Martin Skrtel,Centre-Back,35,£3.44m,Zenit S-Pb,Premier Liga,Liverpool,Premier League,£9.00m,https://www.transfermarkt.co.uk/martin-skrtel/profil/spieler/24180
42,2007,Alexis Ruano,Centre-Back,35,£9.00m,Getafe,LaLiga,Valencia,LaLiga,£5.40m,https://www.transfermarkt.co.uk/alexis-ruano/profil/spieler/7781
43,2007,Khalid Boulahrouz,Centre-Back,38,£8.82m,Chelsea,Premier League,Sevilla FC,LaLiga,Loan,https://www.transfermarkt.co.uk/khalid-boulahrouz/profil/spieler/4489
44,2007,Bacary Sagna,Right-Back,37,£5.40m,AJ Auxerre,Ligue 1,Arsenal,Premier League,£8.10m,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
45,2007,Asier del Horno,Left-Back,39,£8.10m,Valencia,LaLiga,Athletic,LaLiga,Loan,https://www.transfermarkt.co.uk/asier-del-horno/profil/spieler/7617
46,2007,Roberto Ayala,Centre-Back,47,£7.88m,Valencia,LaLiga,Real Zaragoza,LaLiga,Free transfer,https://www.transfermarkt.co.uk/roberto-ayala/profil/spieler/7565
47,2007,Fabio Grosso,Left-Back,42,£7.65m,Inter,Serie A,Olympique Lyon,Ligue 1,£7.83m,https://www.transfermarkt.co.uk/fabio-grosso/profil/spieler/6091
48,2007,José Enrique,Left-Back,34,£720Th.,Villarreal,LaLiga,Newcastle,Premier League,£7.83m,https://www.transfermarkt.co.uk/jose-enrique/profil/spieler/35571
49,2007,Anderson,Central Midfield,32,£22.50m,FC Porto,Liga NOS,Man Utd,Premier League,£28.35m,https://www.transfermarkt.co.uk/anderson/profil/spieler/31645
50,2007,Wesley Sneijder,Attacking Midfield,36,£14.40m,Ajax,Eredivisie,Real Madrid,LaLiga,£24.30m,https://www.transfermarkt.co.uk/wesley-sneijder/profil/spieler/4673
51,2007,Owen Hargreaves,Defensive Midfield,39,£22.50m,Bayern Munich ,Bundesliga,Man Utd,Premier League,£22.50m,https://www.transfermarkt.co.uk/owen-hargreaves/profil/spieler/201
52,2007,Javier Mascherano,Defensive Midfield,36,-,West Ham,Premier League,Liverpool,Premier League,£20.25m,https://www.transfermarkt.co.uk/javier-mascherano/profil/spieler/19981
53,2007,David Beckham,Right Midfield,45,£17.82m,Real Madrid,LaLiga,LA Galaxy,MLS,Free transfer,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139
