,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2002,Rio Ferdinand,Centre-Back,41,-,Leeds,Premier League,Man Utd,Premier League,£41.40m,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235
1,2002,Ronaldo,Centre-Forward,44,-,Inter,Serie A,Real Madrid,LaLiga,£40.50m,https://www.transfermarkt.co.uk/ronaldo/profil/spieler/3140
2,2002,Hernán Crespo,Centre-Forward,45,-,Lazio,Serie A,Inter,Serie A,£32.40m,https://www.transfermarkt.co.uk/hernan-crespo/profil/spieler/3410
3,2002,Fabio Cannavaro,Centre-Back,47,-,AC Parma,Serie A,Inter,Serie A,£20.70m,https://www.transfermarkt.co.uk/fabio-cannavaro/profil/spieler/5775
4,2002,Francesco Coco,Left-Back,43,-,Milan,Serie A,Inter,Serie A,£20.25m,https://www.transfermarkt.co.uk/francesco-coco/profil/spieler/3508
5,2002,Clarence Seedorf,Central Midfield,44,-,Inter,Serie A,Milan,Serie A,£20.25m,https://www.transfermarkt.co.uk/clarence-seedorf/profil/spieler/4168
6,2002,Matías Almeyda,Defensive Midfield,46,-,AC Parma,Serie A,Inter,Serie A,£19.89m,https://www.transfermarkt.co.uk/matias-almeyda/profil/spieler/5792
7,2002,Marco Di Vaio,Centre-Forward,44,-,AC Parma,Serie A,Juventus,Serie A,£18.90m,https://www.transfermarkt.co.uk/marco-di-vaio/profil/spieler/4170
8,2002,Manuele Blasi,Central Midfield,40,-,Perugia,Serie A,Juventus,Serie A,£15.93m,https://www.transfermarkt.co.uk/manuele-blasi/profil/spieler/6090
9,2002,Albert Luque,Left Winger,42,-,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,£13.50m,https://www.transfermarkt.co.uk/albert-luque/profil/spieler/7506
10,2002,Nicolas Anelka,Centre-Forward,41,-,Paris SG,Ligue 1,Man City,Premier League,£13.50m,https://www.transfermarkt.co.uk/nicolas-anelka/profil/spieler/3226
11,2002,El-Hadji Diouf,Centre-Forward,39,-,Lens,Ligue 1,Liverpool,Premier League,£13.50m,https://www.transfermarkt.co.uk/el-hadji-diouf/profil/spieler/3604
12,2002,Adriano,Centre-Forward,38,-,Inter,Serie A,AC Parma,Serie A,£13.05m,https://www.transfermarkt.co.uk/adriano/profil/spieler/5876
