,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2005,Michael Essien,Defensive Midfield,37,£20.70m,Olympique Lyon,Ligue 1,Chelsea,Premier League,£34.20m,https://www.transfermarkt.co.uk/michael-essien/profil/spieler/5588
1,2005,Patrick Vieira,Defensive Midfield,44,£31.50m,Arsenal,Premier League,Juventus,Serie A,£18.00m,https://www.transfermarkt.co.uk/patrick-vieira/profil/spieler/3183
2,2005,Shaun Wright-Phillips,Right Winger,38,£8.55m,Man City,Premier League,Chelsea,Premier League,£28.35m,https://www.transfermarkt.co.uk/shaun-wright-phillips/profil/spieler/3467
3,2005,Sergio Ramos,Centre-Back,34,£24.30m,Sevilla FC,LaLiga,Real Madrid,LaLiga,£24.30m,https://www.transfermarkt.co.uk/sergio-ramos/profil/spieler/25557
4,2005,Alberto Gilardino,Centre-Forward,38,£18.00m,Parma,Serie A,AC Milan,Serie A,£22.50m,https://www.transfermarkt.co.uk/alberto-gilardino/profil/spieler/5878
5,2005,Michael Owen,Centre-Forward,40,£19.80m,Real Madrid,LaLiga,Newcastle,Premier League,£22.50m,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397
6,2005,Robinho,Left Winger,36,£22.50m,Santos FC,Série A,Real Madrid,LaLiga,£21.60m,https://www.transfermarkt.co.uk/robinho/profil/spieler/15511
7,2005,Júlio Baptista,Attacking Midfield,39,£22.50m,Sevilla FC,LaLiga,Real Madrid,LaLiga,£18.00m,https://www.transfermarkt.co.uk/julio-baptista/profil/spieler/15952
8,2005,Antonio Cassano,Second Striker,38,£21.60m,AS Roma,Serie A,Real Madrid,LaLiga,£4.95m,https://www.transfermarkt.co.uk/antonio-cassano/profil/spieler/5962
9,2005,Albert Luque,Left Winger,42,£18.00m,Dep. La Coruña,LaLiga,Newcastle,Premier League,£18.00m,https://www.transfermarkt.co.uk/albert-luque/profil/spieler/7506
10,2005,Marek Jankulovski,Left-Back,43,£18.00m,Udinese,Serie A,AC Milan,Serie A,£7.65m,https://www.transfermarkt.co.uk/marek-jankulovski/profil/spieler/3532
11,2005,Luís Figo,Right Winger,47,£18.00m,Real Madrid,LaLiga,Inter,Serie A,Free transfer,https://www.transfermarkt.co.uk/luis-figo/profil/spieler/3446
12,2005,Maniche,Central Midfield,42,£16.20m,FC Porto,Liga NOS,Dynamo Moscow,Premier Liga,£14.40m,https://www.transfermarkt.co.uk/maniche/profil/spieler/9822
13,2005,Maniche,Central Midfield,42,£16.20m,Dynamo Moscow,Premier Liga,Chelsea,Premier League,Loan fee:,https://www.transfermarkt.co.uk/maniche/profil/spieler/9822
14,2005,Milan Baros,Centre-Forward,38,£15.75m,Liverpool,Premier League,Aston Villa,Premier League,£7.96m,https://www.transfermarkt.co.uk/milan-baros/profil/spieler/3216
15,2005,Wálter Samuel,Centre-Back,42,£15.30m,Real Madrid,LaLiga,Inter,Serie A,£14.40m,https://www.transfermarkt.co.uk/walter-samuel/profil/spieler/5938
16,2005,Fred,Centre-Forward,37,£6.75m,Cruzeiro,Série A,Olympique Lyon,Ligue 1,£14.04m,https://www.transfermarkt.co.uk/fred/profil/spieler/31005
17,2005,Aleksandr Hleb,Attacking Midfield,39,£7.65m,VfB Stuttgart,Bundesliga,Arsenal,Premier League,£13.50m,https://www.transfermarkt.co.uk/aleksandr-hleb/profil/spieler/597
18,2005,Jermaine Jenas,Central Midfield,37,£8.10m,Newcastle,Premier League,Spurs,Premier League,£13.50m,https://www.transfermarkt.co.uk/jermaine-jenas/profil/spieler/3461
19,2005,Luca Toni,Centre-Forward,43,£13.50m,US Palermo,Serie A,Fiorentina,Serie A,£9.00m,https://www.transfermarkt.co.uk/luca-toni/profil/spieler/5980
20,2005,Miguel,Right-Back,40,£13.50m,Benfica,Liga NOS,Valencia,LaLiga,£7.20m,https://www.transfermarkt.co.uk/miguel/profil/spieler/13225
21,2005,Jon Dahl Tomasson,Centre-Forward,44,£13.50m,AC Milan,Serie A,VfB Stuttgart,Bundesliga,£6.75m,https://www.transfermarkt.co.uk/jon-dahl-tomasson/profil/spieler/4169
22,2005,Costinha,Defensive Midfield,45,£13.50m,FC Porto,Liga NOS,Dynamo Moscow,Premier Liga,£3.60m,https://www.transfermarkt.co.uk/costinha/profil/spieler/9826
23,2005,Fabrizio Miccoli,Centre-Forward,41,£13.50m,Fiorentina,Serie A,Juventus,Serie A,£2.15m,https://www.transfermarkt.co.uk/fabrizio-miccoli/profil/spieler/6097
24,2005,Sébastien Frey,Goalkeeper,40,£12.60m,Parma,Serie A,Fiorentina,Serie A,Loan,https://www.transfermarkt.co.uk/sebastien-frey/profil/spieler/5854
25,2005,Mateja Kezman,Centre-Forward,41,£12.15m,Chelsea,Premier League,Atlético Madrid,LaLiga,£8.10m,https://www.transfermarkt.co.uk/mateja-kezman/profil/spieler/4358
26,2005,Seth Johnson,Central Midfield,41,£11.70m,Leeds,Championship,Derby,Championship,Free transfer,https://www.transfermarkt.co.uk/seth-johnson/profil/spieler/3635
27,2005,Andy van der Meyde,Right Winger,41,£11.25m,Inter,Serie A,Everton,Premier League,£8.10m,https://www.transfermarkt.co.uk/andy-van-der-meyde/profil/spieler/3772
28,2005,Mohamed Sissoko,Defensive Midfield,35,£3.60m,Valencia,LaLiga,Liverpool,Premier League,£10.80m,https://www.transfermarkt.co.uk/mohamed-sissoko/profil/spieler/6119
29,2005,David Pizarro,Central Midfield,41,£10.80m,Udinese,Serie A,Inter,Serie A,£10.80m,https://www.transfermarkt.co.uk/david-pizarro/profil/spieler/5896
30,2005,Asier del Horno,Left-Back,39,£10.80m,Athletic,LaLiga,Chelsea,Premier League,£10.80m,https://www.transfermarkt.co.uk/asier-del-horno/profil/spieler/7617
31,2005,David Villa,Centre-Forward,38,£10.80m,Real Zaragoza,LaLiga,Valencia,LaLiga,£10.80m,https://www.transfermarkt.co.uk/david-villa/profil/spieler/7980
32,2005,Emre Belözoglu,Central Midfield,40,£10.80m,Inter,Serie A,Newcastle,Premier League,£4.50m,https://www.transfermarkt.co.uk/emre-belozoglu/profil/spieler/5782
33,2005,Ewerthon,Centre-Forward,39,£10.80m,Bor. Dortmund,Bundesliga,Real Zaragoza,LaLiga,£3.15m,https://www.transfermarkt.co.uk/ewerthon/profil/spieler/1396
34,2005,Christian Vieri,Centre-Forward,47,£10.80m,Inter,Serie A,AC Milan,Serie A,Free transfer,https://www.transfermarkt.co.uk/christian-vieri/profil/spieler/5797
35,2005,Mark van Bommel,Defensive Midfield,43,£10.80m,PSV Eindhoven,Eredivisie,FC Barcelona,LaLiga,Free transfer,https://www.transfermarkt.co.uk/mark-van-bommel/profil/spieler/3515
36,2005,Javier Mascherano,Defensive Midfield,36,-,River Plate,Torneo Final,Corinthians,Série A,£10.62m,https://www.transfermarkt.co.uk/javier-mascherano/profil/spieler/19981
37,2005,Javier Saviola,Second Striker,38,£10.35m,FC Barcelona,LaLiga,Sevilla FC,LaLiga,Loan,https://www.transfermarkt.co.uk/javier-saviola/profil/spieler/7611
38,2005,Scott Parker,Central Midfield,39,£9.90m,Chelsea,Premier League,Newcastle,Premier League,£8.55m,https://www.transfermarkt.co.uk/scott-parker/profil/spieler/3785
39,2005,Dean Ashton,Centre-Forward,36,£5.85m,Norwich,Championship,West Ham,Premier League,£9.80m,https://www.transfermarkt.co.uk/dean-ashton/profil/spieler/14168
40,2005,Theo Walcott,Right Winger,31,£2.25m,Southampton,Championship,Arsenal,Premier League,£9.45m,https://www.transfermarkt.co.uk/theo-walcott/profil/spieler/33713
41,2005,Peter Crouch,Centre-Forward,39,£9.45m,Southampton,Championship,Liverpool,Premier League,£9.45m,https://www.transfermarkt.co.uk/peter-crouch/profil/spieler/4072
42,2005,Nemanja Vidic‎,Centre-Back,38,£7.65m,Spartak Moscow,Premier Liga,Man Utd,Premier League,£9.45m,https://www.transfermarkt.co.uk/nemanja-vidic-lrm-/profil/spieler/19726
43,2005,Lucho González,Central Midfield,39,£5.40m,River Plate,Torneo Final,FC Porto,Liga NOS,£9.23m,https://www.transfermarkt.co.uk/lucho-gonzalez/profil/spieler/26244
44,2005,Tiago,Central Midfield,39,£9.00m,Chelsea,Premier League,Olympique Lyon,Ligue 1,£9.09m,https://www.transfermarkt.co.uk/tiago/profil/spieler/8538
45,2005,Emmanuel Adebayor,Centre-Forward,36,£6.75m,Monaco,Ligue 1,Arsenal,Premier League,£9.00m,https://www.transfermarkt.co.uk/emmanuel-adebayor/profil/spieler/8883
46,2005,Martin Petrov,Left Winger,41,£6.30m,VfL Wolfsburg,Bundesliga,Atlético Madrid,LaLiga,£9.00m,https://www.transfermarkt.co.uk/martin-petrov/profil/spieler/670
47,2005,Georgios Seitaridis,Right-Back,39,£7.20m,FC Porto,Liga NOS,Dynamo Moscow,Premier Liga,£9.00m,https://www.transfermarkt.co.uk/georgios-seitaridis/profil/spieler/9841
48,2005,Luís Fabiano,Centre-Forward,39,£9.00m,FC Porto,Liga NOS,Sevilla FC,LaLiga,£9.00m,https://www.transfermarkt.co.uk/luis-fabiano/profil/spieler/19082
49,2005,Matteo Ferrari,Centre-Back,40,£9.00m,AS Roma,Serie A,Everton,Premier League,Loan,https://www.transfermarkt.co.uk/matteo-ferrari/profil/spieler/5860
50,2005,Edgar Davids,Central Midfield,47,£9.00m,Inter,Serie A,Spurs,Premier League,Free transfer,https://www.transfermarkt.co.uk/edgar-davids/profil/spieler/5758
51,2005,Christian Vieri,Centre-Forward,47,£9.00m,AC Milan,Serie A,Monaco,Ligue 1,Free transfer,https://www.transfermarkt.co.uk/christian-vieri/profil/spieler/5797
52,2005,Péguy Luyindula,Centre-Forward,41,£9.00m,Marseille,Ligue 1,AJ Auxerre,Ligue 1,Loan,https://www.transfermarkt.co.uk/peguy-luyindula/profil/spieler/3916
53,2005,Wálter Pandiani,Centre-Forward,44,£9.00m,Dep. La Coruña,LaLiga,Birmingham,Premier League,?,https://www.transfermarkt.co.uk/walter-pandiani/profil/spieler/7691
54,2005,Hidetoshi Nakata,Attacking Midfield,43,£9.00m,Fiorentina,Serie A,Bolton,Premier League,Loan,https://www.transfermarkt.co.uk/hidetoshi-nakata/profil/spieler/5875
55,2005,Pepe Reina,Goalkeeper,38,£4.05m,Villarreal,LaLiga,Liverpool,Premier League,£8.82m,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050/saison_id/2005
56,2005,Yakubu Aiyegbeni,Centre-Forward,37,£8.55m,Portsmouth,Premier League,Middlesbrough,Premier League,£8.78m,https://www.transfermarkt.co.uk/fc-portsmouth/startseite/verein/1020/saison_id/2005
57,2005,Denílson,Left Winger,43,£8.55m,Real Betis,LaLiga,G. Bordeaux,Ligue 1,Free transfer,https://www.transfermarkt.co.uk/real-betis-sevilla/startseite/verein/150/saison_id/2005
58,2005,Andrea Caracciolo,Centre-Forward,39,£7.20m,Brescia,Serie B,US Palermo,Serie A,£8.10m,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19/saison_id/2005
59,2005,Klaas-Jan Huntelaar,Centre-Forward,37,£4.28m,Heerenveen,Eredivisie,Ajax,Eredivisie,£8.10m,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306/saison_id/2005
60,2005,Giorgio Chiellini,Centre-Back,36,£8.10m,Fiorentina,Serie A,Juventus,Serie A,£6.93m,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430/saison_id/2005
61,2005,Craig Bellamy,Left Winger,41,£8.10m,Newcastle,Premier League,Blackburn,Premier League,£6.75m,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762/saison_id/2005
62,2005,Benoît Pedretti,Defensive Midfield,39,£8.10m,Marseille,Ligue 1,Olympique Lyon,Ligue 1,£6.75m,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244/saison_id/2005
63,2005,Torsten Frings,Defensive Midfield,43,£8.10m,Bayern Munich ,Bundesliga,Werder Bremen,Bundesliga,£4.50m,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27/saison_id/2005
64,2005,Fabrizio Miccoli,Centre-Forward,41,£8.10m,Juventus,Serie A,Benfica,Liga NOS,Loan fee:,https://www.transfermarkt.co.uk/juventus-turin/startseite/verein/506/saison_id/2005
65,2005,Andrés D'Alessandro,Attacking Midfield,39,£8.10m,VfL Wolfsburg,Bundesliga,Portsmouth,Premier League,Loan fee:,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82/saison_id/2005
66,2005,Fabian Ernst,Defensive Midfield,41,£8.10m,Werder Bremen,Bundesliga,FC Schalke 04,Bundesliga,Free transfer,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86/saison_id/2005
67,2005,Maxwell,Left-Back,39,£8.10m,Ajax,Eredivisie,Inter,Serie A,Free transfer,https://www.transfermarkt.co.uk/ajax-amsterdam/startseite/verein/610/saison_id/2005
68,2005,Stefano Fiore,Attacking Midfield,45,£8.10m,Valencia,LaLiga,Fiorentina,Serie A,Loan,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049/saison_id/2005
69,2005,Maxwell,Left-Back,39,£8.10m,Inter,Serie A,FC Empoli,Serie A,Loan,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46/saison_id/2005
70,2005,Hugo Viana,Central Midfield,37,£8.10m,Newcastle,Premier League,Valencia,LaLiga,Loan,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762/saison_id/2005
71,2005,Daniel Agger,Centre-Back,35,£360Th.,Bröndby IF,SAS Ligaen,Liverpool,Premier League,£7.88m,https://www.transfermarkt.co.uk/brondby-if/startseite/verein/206/saison_id/2005
72,2005,Valérien Ismaël,Centre-Back,45,£7.65m,Werder Bremen,Bundesliga,Bayern Munich ,Bundesliga,£7.65m,https://www.transfermarkt.co.uk/sv-werder-bremen/startseite/verein/86/saison_id/2005
73,2005,Georgios Samaras,Left Winger,35,£2.70m,Heerenveen,Eredivisie,Man City,Premier League,£7.65m,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306/saison_id/2005
74,2005,Georgios Samaras,Left Winger,35,£2.70m,Heerenveen,Eredivisie,Man City,Premier League,£7.65m,https://www.transfermarkt.co.uk/georgios-samaras/profil/spieler/6855
75,2005,Patrice Evra,Left-Back,39,£6.75m,Monaco,Ligue 1,Man Utd,Premier League,£7.20m,https://www.transfermarkt.co.uk/patrice-evra/profil/spieler/5285
76,2005,Stephen Appiah,Defensive Midfield,39,£5.40m,Juventus,Serie A,Fenerbahce,Süper Lig,£7.20m,https://www.transfermarkt.co.uk/stephen-appiah/profil/spieler/5975
77,2005,Kevin Kuranyi,Centre-Forward,38,£7.20m,VfB Stuttgart,Bundesliga,FC Schalke 04,Bundesliga,£6.21m,https://www.transfermarkt.co.uk/kevin-kuranyi/profil/spieler/1331
78,2005,Jan Kromkamp,Right-Back,40,£7.20m,AZ Alkmaar,Eredivisie,Villarreal,LaLiga,£5.40m,https://www.transfermarkt.co.uk/jan-kromkamp/profil/spieler/4549
79,2005,Rafael van der Vaart,Attacking Midfield,37,£7.20m,Ajax,Eredivisie,Hamburger SV,Bundesliga,£4.59m,https://www.transfermarkt.co.uk/rafael-van-der-vaart/profil/spieler/4192
80,2005,Aílton,Centre-Forward,47,£7.20m,FC Schalke 04,Bundesliga,Besiktas,Süper Lig,£3.15m,https://www.transfermarkt.co.uk/ailton/profil/spieler/516
81,2005,Mikel Arteta,Central Midfield,38,£7.20m,Real Sociedad,LaLiga,Everton,Premier League,£2.52m,https://www.transfermarkt.co.uk/mikel-arteta/profil/spieler/7451
82,2005,Laurent Robert,Left Winger,45,£7.20m,Newcastle,Premier League,Portsmouth,Premier League,Loan fee:,https://www.transfermarkt.co.uk/laurent-robert/profil/spieler/3316
83,2005,Fábio Rochemback,Central Midfield,38,£7.20m,FC Barcelona,LaLiga,Middlesbrough,Premier League,£1.35m,https://www.transfermarkt.co.uk/fabio-rochemback/profil/spieler/7606
84,2005,Ivan Pelizzoli,Goalkeeper,39,£7.20m,AS Roma,Serie A,Reggina,Serie A,Loan fee:,https://www.transfermarkt.co.uk/ivan-pelizzoli/profil/spieler/5936
85,2005,Marco Di Vaio,Centre-Forward,44,£7.20m,Valencia,LaLiga,Monaco,Ligue 1,Loan fee:,https://www.transfermarkt.co.uk/marco-di-vaio/profil/spieler/4170
86,2005,Jan Kromkamp,Right-Back,40,£7.20m,Villarreal,LaLiga,Liverpool,Premier League,?,https://www.transfermarkt.co.uk/jan-kromkamp/profil/spieler/4549
87,2005,Fernandinho,Defensive Midfield,35,£450Th.,Atlético-PR,Série A,Shakhtar D.,Vyshcha Liga,£7.02m,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
88,2005,Wayne Bridge,Left-Back,40,£6.98m,Chelsea,Premier League,Fulham,Premier League,Loan,https://www.transfermarkt.co.uk/wayne-bridge/profil/spieler/3682
89,2005,John Carew,Centre-Forward,41,£6.30m,Besiktas,Süper Lig,Olympique Lyon,Ligue 1,£6.84m,https://www.transfermarkt.co.uk/john-carew/profil/spieler/3570
90,2005,Domenico Morfeo,Attacking Midfield,44,£5.40m,Inter,Serie A,Parma,Serie A,£6.75m,https://www.transfermarkt.co.uk/domenico-morfeo/profil/spieler/5786
91,2005,Stephen Makinwa,Centre-Forward,37,£4.50m,Atalanta,Serie B,US Palermo,Serie A,£6.75m,https://www.transfermarkt.co.uk/stephen-makinwa/profil/spieler/17146
92,2005,Frédéric Kanouté,Centre-Forward,43,£6.75m,Spurs,Premier League,Sevilla FC,LaLiga,£5.85m,https://www.transfermarkt.co.uk/frederic-kanoute/profil/spieler/3700
93,2005,Enzo Maresca,Central Midfield,40,£6.75m,Juventus,Serie A,Sevilla FC,LaLiga,£2.25m,https://www.transfermarkt.co.uk/enzo-maresca/profil/spieler/16651
94,2005,Wálter Pandiani,Centre-Forward,44,£6.75m,Birmingham,Premier League,Espanyol,LaLiga,£1.35m,https://www.transfermarkt.co.uk/walter-pandiani/profil/spieler/7691
95,2005,David Di Michele,Centre-Forward,44,£6.75m,Udinese,Serie A,US Palermo,Serie A,?,https://www.transfermarkt.co.uk/david-di-michele/profil/spieler/6076
96,2005,Patrick Kluivert,Centre-Forward,44,£6.75m,Newcastle,Premier League,Valencia,LaLiga,Free transfer,https://www.transfermarkt.co.uk/patrick-kluivert/profil/spieler/4385
97,2005,Roy Keane,Defensive Midfield,49,£6.75m,Man Utd,Premier League,Celtic,Premiership,Free transfer,https://www.transfermarkt.co.uk/roy-keane/profil/spieler/3396
98,2005,Ji-sung Park,Attacking Midfield,39,£4.50m,PSV Eindhoven,Eredivisie,Man Utd,Premier League,£6.57m,https://www.transfermarkt.co.uk/ji-sung-park/profil/spieler/4592
99,2005,Per Kröldrup,Centre-Back,41,£6.53m,Everton,Premier League,Fiorentina,Serie A,£3.60m,https://www.transfermarkt.co.uk/per-kroldrup/profil/spieler/12112
100,2005,Mamadou Niang,Centre-Forward,40,£4.50m,R. Strasbourg,Ligue 1,Marseille,Ligue 1,£6.30m,https://www.transfermarkt.co.uk/mamadou-niang/profil/spieler/6118
101,2005,Per Kröldrup,Centre-Back,41,£6.30m,Udinese,Serie A,Everton,Premier League,£6.12m,https://www.transfermarkt.co.uk/per-kroldrup/profil/spieler/12112
102,2005,John Utaka,Left Winger,38,£6.30m,Lens,Ligue 1,Stade Rennais,Ligue 1,£5.40m,https://www.transfermarkt.co.uk/john-utaka/profil/spieler/5495
103,2005,Maxi Rodríguez,Left Winger,39,£6.30m,Espanyol,LaLiga,Atlético Madrid,LaLiga,£4.50m,https://www.transfermarkt.co.uk/maxi-rodriguez/profil/spieler/7895
104,2005,Mikael Forssell,Centre-Forward,39,£6.30m,Chelsea,Premier League,Birmingham,Premier League,£4.05m,https://www.transfermarkt.co.uk/mikael-forssell/profil/spieler/3127
105,2005,Clinton Morrison,Centre-Forward,41,£6.30m,Birmingham,Premier League,Crystal Palace,Championship,£2.70m,https://www.transfermarkt.co.uk/clinton-morrison/profil/spieler/3145
