,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,1998,Christian Vieri,Centre-Forward,47,-,Atlético Madrid,LaLiga,Lazio,Serie A,£25.56m,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13/saison_id/1998
1,1998,Nicola Ventola,Centre-Forward,42,-,Bari,Serie A,Inter,Serie A,£18.90m,https://www.transfermarkt.co.uk/as-bari/startseite/verein/332/saison_id/1998
2,1998,Patrick Kluivert,Centre-Forward,44,-,Milan,Serie A,FC Barcelona,LaLiga,£18.00m,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5/saison_id/1998
3,1998,Dwight Yorke,Centre-Forward,48,-,Aston Villa,Premier League,Man Utd,Premier League,£17.33m,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405/saison_id/1998
4,1998,Juan Sebastián Verón,Central Midfield,45,-,Sampdoria,Serie A,AC Parma,Serie A,£15.75m,https://www.transfermarkt.co.uk/uc-sampdoria/startseite/verein/1038/saison_id/1998
5,1998,Marcelo Salas,Centre-Forward,45,-,River Plate,Torneo Inicial,Lazio,Serie A,£15.75m,https://www.transfermarkt.co.uk/club-atletico-river-plate/startseite/verein/209/saison_id/1998
6,1998,Jaap Stam,Centre-Back,48,-,PSV Eindhoven,PTT Telecomp.,Man Utd,Premier League,£15.30m,https://www.transfermarkt.co.uk/psv-eindhoven/startseite/verein/383/saison_id/1998
7,1998,Sinisa Mihajlovic,Centre-Back,51,-,Sampdoria,Serie A,Lazio,Serie A,£15.30m,https://www.transfermarkt.co.uk/uc-sampdoria/startseite/verein/1038/saison_id/1998
8,1998,Iván De La Peña,Attacking Midfield,44,-,FC Barcelona,LaLiga,Lazio,Serie A,£13.50m,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131/saison_id/1998
9,1998,Sébastien Frey,Goalkeeper,40,-,Cannes,Ligue 2,Inter,Serie A,£12.60m,https://www.transfermarkt.co.uk/as-cannes/startseite/verein/895/saison_id/1998
10,1998,Jörg Heinrich,Left-Back,50,-,Bor. Dortmund,Bundesliga,Fiorentina,Serie A,£11.34m,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16/saison_id/1998
