,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2009,Marco Amelia,Goalkeeper,38,£9.00m,US Palermo,Serie A,Genoa,Serie A,£4.50m,https://www.transfermarkt.co.uk/marco-amelia/profil/spieler/16810
1,2009,Cédric Carrasso,Goalkeeper,38,£5.40m,Toulouse,Ligue 1,G. Bordeaux,Ligue 1,£7.20m,https://www.transfermarkt.co.uk/cedric-carrasso/profil/spieler/5308
2,2009,Emiliano Viviano,Goalkeeper,34,£2.70m,Brescia,Serie B,Inter,Serie A,£6.30m,https://www.transfermarkt.co.uk/emiliano-viviano/profil/spieler/24316
3,2009,Mickaël Landreau,Goalkeeper,41,£5.85m,Paris SG,Ligue 1,LOSC Lille,Ligue 1,£1.44m,https://www.transfermarkt.co.uk/mickael-landreau/profil/spieler/3575
4,2009,Joe Hart,Goalkeeper,33,£5.85m,Man City,Premier League,Birmingham,Premier League,Loan fee:,https://www.transfermarkt.co.uk/joe-hart/profil/spieler/40204
5,2009,Renan,Goalkeeper,35,£5.40m,Valencia,LaLiga,Xerez CD,LaLiga,Loan fee:,https://www.transfermarkt.co.uk/renan/profil/spieler/27364
6,2009,Leo Franco,Goalkeeper,43,£5.40m,Atlético Madrid,LaLiga,Galatasaray,Süper Lig,Free transfer,https://www.transfermarkt.co.uk/leo-franco/profil/spieler/7669
7,2009,Sergio Asenjo,Goalkeeper,31,£3.60m,Real Valladolid,LaLiga,Atlético Madrid,LaLiga,£4.95m,https://www.transfermarkt.co.uk/sergio-asenjo/profil/spieler/51710
8,2009,Morgan De Sanctis,Goalkeeper,43,£4.95m,Sevilla FC,LaLiga,SSC Napoli,Serie A,£1.71m,https://www.transfermarkt.co.uk/morgan-de-sanctis/profil/spieler/5880
9,2009,Juan Pablo Carrizo,Goalkeeper,36,£4.95m,Lazio,Serie A,Real Zaragoza,LaLiga,Loan fee:,https://www.transfermarkt.co.uk/juan-pablo-carrizo/profil/spieler/39118
10,2009,Miguel Ángel Moyá,Goalkeeper,36,£4.50m,RCD Mallorca,LaLiga,Valencia,LaLiga,£4.50m,https://www.transfermarkt.co.uk/miguel-angel-moya/profil/spieler/26065
11,2009,Rubinho,Goalkeeper,38,£4.50m,Genoa,Serie A,US Palermo,Serie A,£4.50m,https://www.transfermarkt.co.uk/rubinho/profil/spieler/37598
12,2009,Yohann Pelé,Goalkeeper,37,£4.50m,Le Mans UC 72,Ligue 1,Toulouse,Ligue 1,Free transfer,https://www.transfermarkt.co.uk/yohann-pele/profil/spieler/6270
13,2009,Rubinho,Goalkeeper,38,£4.05m,US Palermo,Serie A,AS Livorno,Serie A,Loan fee:,https://www.transfermarkt.co.uk/rubinho/profil/spieler/37598
14,2009,Grégory Coupet,Goalkeeper,47,£3.60m,Atlético Madrid,LaLiga,Paris SG,Ligue 1,£720Th.,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13/saison_id/2009
15,2009,Asmir Begovic,Goalkeeper,33,£1.35m,Portsmouth,Premier League,Stoke City,Premier League,£3.38m,https://www.transfermarkt.co.uk/fc-portsmouth/startseite/verein/1020/saison_id/2009
16,2009,Antonio Mirante,Goalkeeper,37,£1.80m,Sampdoria,Serie A,Parma,Serie A,£3.24m,https://www.transfermarkt.co.uk/uc-sampdoria/startseite/verein/1038/saison_id/2009
17,2009,Emiliano Viviano,Goalkeeper,34,£2.70m,Inter,Serie A,Bologna,Serie A,£3.15m,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46/saison_id/2009
18,2009,Mariano Andújar,Goalkeeper,37,£3.15m,Estudiantes,Torneo Final,Catania,Serie A,£1.98m,https://www.transfermarkt.co.uk/estudiantes-de-la-plata/startseite/verein/288/saison_id/2009
19,2009,Beto,Goalkeeper,38,£3.15m,Leixões,Liga NOS,FC Porto,Liga NOS,£360Th.,https://www.transfermarkt.co.uk/leixoes-sc/startseite/verein/3345/saison_id/2009
20,2009,Agustín Orión,Goalkeeper,39,£2.88m,San Lorenzo,Torneo Final,Estudiantes,Torneo Final,£450Th.,https://www.transfermarkt.co.uk/club-atletico-san-lorenzo-de-almagro/startseite/verein/1775/saison_id/2009
21,2009,Jan Lastuvka,Goalkeeper,38,£810Th.,Shakhtar D.,Premier Liga,Dnipro,Premier Liga,£2.70m,https://www.transfermarkt.co.uk/shakhtar-donetsk/startseite/verein/660/saison_id/2009
22,2009,Fabián Assmann,Goalkeeper,34,£2.70m,Independiente,Torneo Final,UD Las Palmas,LaLiga2,Loan,https://www.transfermarkt.co.uk/ca-independiente-de-avellaneda/startseite/verein/1234/saison_id/2009
23,2009,Bogdan Lobont,Goalkeeper,42,£2.70m,Dinamo Bucarest,Liga 1,AS Roma,Serie A,Loan,https://www.transfermarkt.co.uk/dinamo-bukarest/startseite/verein/312/saison_id/2009
24,2009,Joleon Lescott,Centre-Back,38,£15.30m,Everton,Premier League,Man City,Premier League,£24.75m,https://www.transfermarkt.co.uk/joleon-lescott/profil/spieler/4241
25,2009,Dmytro Chygrynskyi,Centre-Back,33,£12.15m,Shakhtar D.,Premier Liga,FC Barcelona,LaLiga,£22.50m,https://www.transfermarkt.co.uk/dmytro-chygrynskyi/profil/spieler/25732
26,2009,Yuri Zhirkov,Left-Back,37,£18.00m,CSKA Moscow,Premier Liga,Chelsea,Premier League,£18.90m,https://www.transfermarkt.co.uk/yuri-zhirkov/profil/spieler/16760
27,2009,Kolo Touré,Centre-Back,39,£18.90m,Arsenal,Premier League,Man City,Premier League,£16.83m,https://www.transfermarkt.co.uk/kolo-toure/profil/spieler/3202
28,2009,Glen Johnson,Right-Back,36,£9.90m,Portsmouth,Premier League,Liverpool,Premier League,£18.45m,https://www.transfermarkt.co.uk/glen-johnson/profil/spieler/3881
29,2009,Antonio Valencia,Right-Back,35,£9.90m,Wigan,Premier League,Man Utd,Premier League,£16.92m,https://www.transfermarkt.co.uk/antonio-valencia/profil/spieler/33544
30,2009,Lúcio,Centre-Back,42,£16.20m,Bayern Munich ,Bundesliga,Inter,Serie A,£6.30m,https://www.transfermarkt.co.uk/lucio/profil/spieler/77
31,2009,Aly Cissokho,Left-Back,33,£10.80m,FC Porto,Liga NOS,Olympique Lyon,Ligue 1,£14.58m,https://www.transfermarkt.co.uk/aly-cissokho/profil/spieler/57515
32,2009,Raúl Albiol,Centre-Back,35,£8.10m,Valencia,LaLiga,Real Madrid,LaLiga,£13.50m,https://www.transfermarkt.co.uk/raul-albiol/profil/spieler/15452
33,2009,Michael Turner,Centre-Back,36,£3.60m,Hull City,Premier League,Sunderland,Premier League,£12.24m,https://www.transfermarkt.co.uk/michael-turner/profil/spieler/12127
34,2009,Maxwell,Left-Back,39,£12.15m,Inter,Serie A,FC Barcelona,LaLiga,£4.50m,https://www.transfermarkt.co.uk/maxwell/profil/spieler/4317
35,2009,Thomas Vermaelen,Centre-Back,34,£5.40m,Ajax,Eredivisie,Arsenal,Premier League,£10.80m,https://www.transfermarkt.co.uk/thomas-vermaelen/profil/spieler/15904
36,2009,Álvaro Arbeloa,Right-Back,37,£9.90m,Liverpool,Premier League,Real Madrid,LaLiga,£3.60m,https://www.transfermarkt.co.uk/alvaro-arbeloa/profil/spieler/28260
37,2009,Leonardo Bonucci,Centre-Back,33,£360Th.,Genoa,Serie A,Bari,Serie A,£9.45m,https://www.transfermarkt.co.uk/leonardo-bonucci/profil/spieler/39983
38,2009,Henrique,Centre-Back,33,£9.00m,FC Barcelona,LaLiga,Racing,LaLiga,Loan,https://www.transfermarkt.co.uk/henrique/profil/spieler/52513
39,2009,Richard Dunne,Centre-Back,41,£8.55m,Man City,Premier League,Aston Villa,Premier League,£6.12m,https://www.transfermarkt.co.uk/richard-dunne/profil/spieler/3807
40,2009,Sébastien Bassong,Centre-Back,34,£4.68m,Newcastle,Championship,Spurs,Premier League,£8.37m,https://www.transfermarkt.co.uk/sebastien-bassong/profil/spieler/33951
41,2009,Stephen Warnock,Left-Back,38,£4.59m,Blackburn,Premier League,Aston Villa,Premier League,£8.10m,https://www.transfermarkt.co.uk/stephen-warnock/profil/spieler/3308
42,2009,Danijel Pranjic,Left-Back,38,£8.10m,Heerenveen,Eredivisie,Bayern Munich ,Bundesliga,£6.93m,https://www.transfermarkt.co.uk/danijel-pranjic/profil/spieler/25617
43,2009,Josip Simunic,Centre-Back,42,£8.10m,Hertha BSC,Bundesliga,TSG Hoffenheim,Bundesliga,£6.30m,https://www.transfermarkt.co.uk/josip-simunic/profil/spieler/354
44,2009,Olof Mellberg,Centre-Back,43,£8.10m,Juventus,Serie A,Olympiacos,Super League,£2.25m,https://www.transfermarkt.co.uk/olof-mellberg/profil/spieler/3098
45,2009,Camilo Zúñiga,Right-Back,34,£1.62m,Siena,Serie A,SSC Napoli,Serie A,£7.65m,https://www.transfermarkt.co.uk/camilo-zuniga/profil/spieler/37941
46,2009,Alex Silva,Centre-Back,35,£7.65m,Hamburger SV,Bundesliga,São Paulo,Série A,Loan fee:,https://www.transfermarkt.co.uk/alex-silva/profil/spieler/26100
47,2009,Sylvain Distin,Centre-Back,42,£7.47m,Portsmouth,Premier League,Everton,Premier League,£5.85m,https://www.transfermarkt.co.uk/sylvain-distin/profil/spieler/3356
48,2009,Dejan Lovren,Centre-Back,31,£2.25m,Dinamo Zagreb,Friendlies,Olympique Lyon,Ligue 1,£7.20m,https://www.transfermarkt.co.uk/dejan-lovren/profil/spieler/37838
49,2009,Kaká,Attacking Midfield,38,£49.50m,AC Milan,Serie A,Real Madrid,LaLiga,£60.30m,https://www.transfermarkt.co.uk/kaka/profil/spieler/3366
50,2009,Xabi Alonso,Defensive Midfield,38,£24.30m,Liverpool,Premier League,Real Madrid,LaLiga,£31.05m,https://www.transfermarkt.co.uk/xabi-alonso/profil/spieler/7476
51,2009,Diego,Attacking Midfield,35,£26.10m,Werder Bremen,Bundesliga,Juventus,Serie A,£24.30m,https://www.transfermarkt.co.uk/diego/profil/spieler/4248
52,2009,Felipe Melo,Defensive Midfield,37,£8.55m,Fiorentina,Serie A,Juventus,Serie A,£22.50m,https://www.transfermarkt.co.uk/felipe-melo/profil/spieler/35537
53,2009,Wesley Sneijder,Attacking Midfield,36,£22.50m,Real Madrid,LaLiga,Inter,Serie A,£13.50m,https://www.transfermarkt.co.uk/wesley-sneijder/profil/spieler/4673
54,2009,Lucho González,Central Midfield,39,£18.90m,FC Porto,Liga NOS,Marseille,Ligue 1,£17.10m,https://www.transfermarkt.co.uk/lucho-gonzalez/profil/spieler/26244
55,2009,Alberto Aquilani,Central Midfield,36,£13.50m,AS Roma,Serie A,Liverpool,Premier League,£18.00m,https://www.transfermarkt.co.uk/alberto-aquilani/profil/spieler/5957
56,2009,Anatoliy Tymoshchuk,Defensive Midfield,41,£18.00m,Zenit S-Pb,Premier Liga,Bayern Munich ,Bundesliga,£9.90m,https://www.transfermarkt.co.uk/anatoliy-tymoshchuk/profil/spieler/14944
57,2009,Gareth Barry,Defensive Midfield,39,£16.65m,Aston Villa,Premier League,Man City,Premier League,£12.51m,https://www.transfermarkt.co.uk/gareth-barry/profil/spieler/3291
58,2009,Yoann Gourcuff,Attacking Midfield,34,£16.65m,AC Milan,Serie A,G. Bordeaux,Ligue 1,£12.15m,https://www.transfermarkt.co.uk/yoann-gourcuff/profil/spieler/18912
59,2009,Michel Bastos,Left Midfield,37,£9.00m,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,£16.20m,https://www.transfermarkt.co.uk/michel-bastos/profil/spieler/12142
60,2009,Alejandro Domínguez,Attacking Midfield,39,£12.60m,Rubin Kazan,Premier Liga,Valencia,LaLiga,Free transfer,https://www.transfermarkt.co.uk/alejandro-dominguez/profil/spieler/18958
61,2009,Stewart Downing,Left Midfield,36,£9.90m,Middlesbrough,Championship,Aston Villa,Premier League,£11.70m,https://www.transfermarkt.co.uk/stewart-downing/profil/spieler/4063
62,2009,Elano,Attacking Midfield,39,£11.25m,Man City,Premier League,Galatasaray,Süper Lig,£6.30m,https://www.transfermarkt.co.uk/elano/profil/spieler/20053
63,2009,Stéphane Mbia,Defensive Midfield,34,£8.55m,Stade Rennais,Ligue 1,Marseille,Ligue 1,£10.80m,https://www.transfermarkt.co.uk/stephane-mbia/profil/spieler/27470
64,2009,Aleksandr Hleb,Attacking Midfield,39,£10.80m,FC Barcelona,LaLiga,VfB Stuttgart,Bundesliga,Loan fee:,https://www.transfermarkt.co.uk/aleksandr-hleb/profil/spieler/597
