,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
728,2011,Gelson Fernandes,Defensive Midfield,34,£3.15m,Saint-Étienne,Ligue 1,Udinese Calcio,Serie A,Loan fee:,https://www.transfermarkt.co.uk/gelson-fernandes/profil/spieler/20081
729,2011,Gelson Fernandes,Defensive Midfield,34,£3.15m,Saint-Étienne,Ligue 1,Leicester,Championship,Loan fee:,https://www.transfermarkt.co.uk/gelson-fernandes/profil/spieler/20081
730,2011,Emmanuel Culio,Central Midfield,37,£3.15m,Galatasaray,Süper Lig,Orduspor,Süper Lig,Loan fee:,https://www.transfermarkt.co.uk/emmanuel-culio/profil/spieler/30846
731,2011,Jan Morávek,Central Midfield,30,£3.15m,FC Schalke 04,Bundesliga,FC Augsburg,Bundesliga,Loan fee:,https://www.transfermarkt.co.uk/jan-moravek/profil/spieler/63022
732,2011,Daniele Mannini,Right Midfield,36,£3.15m,Sampdoria,Serie B,SSC Napoli,Serie A,£450,https://www.transfermarkt.co.uk/daniele-mannini/profil/spieler/21690
733,2011,Royston Drenthe,Left Midfield,33,£3.15m,Real Madrid,LaLiga,Everton,Premier League,Loan,https://www.transfermarkt.co.uk/royston-drenthe/profil/spieler/35631
734,2011,Murat Ceylan,Central Midfield,32,£3.15m,Gaziantepspor,Süper Lig,Samsunspor,Süper Lig,Loan,https://www.transfermarkt.co.uk/murat-ceylan/profil/spieler/55683
735,2011,Valter Birsa,Attacking Midfield,34,£3.15m,AJ Auxerre,Ligue 1,Genoa,Serie A,Free transfer,https://www.transfermarkt.co.uk/valter-birsa/profil/spieler/26105
736,2011,Fabian Delph,Central Midfield,30,£3.15m,Aston Villa,Premier League,Leeds,Championship,Loan,https://www.transfermarkt.co.uk/fabian-delph/profil/spieler/50362
737,2011,Jimmy Bullard,Central Midfield,41,£3.15m,Hull City,Championship,Ipswich,Championship,Free transfer,https://www.transfermarkt.co.uk/jimmy-bullard/profil/spieler/13510
738,2011,Juan Rodríguez,Defensive Midfield,38,£3.15m,Dep. La Coruña,LaLiga2,Getafe,LaLiga,Free transfer,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897/saison_id/2011
739,2011,Modeste M'Bami,Defensive Midfield,37,£3.15m,DL Aerbin,League One,CC Yatai,Super League,Loan,https://www.transfermarkt.co.uk/dalian-aerbin/startseite/verein/33304/saison_id/2011
740,2011,Modeste M'Bami,Defensive Midfield,37,£3.15m,UD Almería,LaLiga2,DL Aerbin,League One,?,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302/saison_id/2011
741,2011,Gabriel Obertan,Attacking Midfield,31,£2.70m,Man Utd,Premier League,Newcastle,Premier League,£3.06m,https://www.transfermarkt.co.uk/manchester-united/startseite/verein/985/saison_id/2011
742,2011,Radosav Petrovic,Defensive Midfield,31,£2.25m,Partizan,Friendlies,Blackburn,Premier League,£2.97m,https://www.transfermarkt.co.uk/fk-partizan-belgrad/startseite/verein/669/saison_id/2011
743,2011,Pierre-Emerick Aubameyang,Centre-Forward,31,£3.60m,AC Milan,Serie A,Saint-Étienne,Ligue 1,£1.62m,https://www.transfermarkt.co.uk/pierre-emerick-aubameyang/profil/spieler/58864
744,2011,Mame Diouf,Centre-Forward,32,£3.60m,Man Utd,Premier League,Hannover 96,Bundesliga,£1.62m,https://www.transfermarkt.co.uk/mame-diouf/profil/spieler/62049
745,2011,Roy Beerens,Right Winger,32,£3.60m,Heerenveen,Eredivisie,AZ Alkmaar,Eredivisie,£1.44m,https://www.transfermarkt.co.uk/roy-beerens/profil/spieler/25427
746,2011,Roque Santa Cruz,Centre-Forward,39,£3.60m,Man City,Premier League,Real Betis,LaLiga,Loan fee:,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215
747,2011,Tuncay Sanli,Left Winger,38,£3.60m,VfL Wolfsburg,Bundesliga,Bolton,Premier League,Loan fee:,https://www.transfermarkt.co.uk/tuncay-sanli/profil/spieler/6934
748,2011,Pierre Webó,Centre-Forward,38,£3.60m,RCD Mallorca,LaLiga,Istanbul BBSK,Süper Lig,£675Th.,https://www.transfermarkt.co.uk/pierre-webo/profil/spieler/16589
749,2011,Harry Kewell,Left Winger,42,£3.60m,Galatasaray,Süper Lig,Melbourne,A-League,Free transfer,https://www.transfermarkt.co.uk/harry-kewell/profil/spieler/3241
750,2011,Adrian Mutu,Centre-Forward,41,£3.60m,Fiorentina,Serie A,Cesena,Serie A,Free transfer,https://www.transfermarkt.co.uk/adrian-mutu/profil/spieler/5879
751,2011,Sidney Govou,Right Winger,41,£3.60m,Panathinaikos,Super League,Évian,Ligue 1,Free transfer,https://www.transfermarkt.co.uk/sidney-govou/profil/spieler/5357
752,2011,Dani Güiza,Centre-Forward,40,£3.60m,Fenerbahce,Süper Lig,Getafe,LaLiga,Free transfer,https://www.transfermarkt.co.uk/dani-guiza/profil/spieler/8186
753,2011,David Trézéguet,Centre-Forward,42,£3.60m,Hércules CF,LaLiga2,FC Baniyas,UAE Gulf League,Free transfer,https://www.transfermarkt.co.uk/david-trezeguet/profil/spieler/4146
754,2011,Craig Bellamy,Left Winger,41,£3.60m,Man City,Premier League,Liverpool,Premier League,Free transfer,https://www.transfermarkt.co.uk/craig-bellamy/profil/spieler/3297
755,2011,Stanislav Sestak,Centre-Forward,37,£3.60m,Ankaragücü,Süper Lig,Bursaspor,Süper Lig,?,https://www.transfermarkt.co.uk/stanislav-sestak/profil/spieler/28775
756,2011,Kris Boyd,Centre-Forward,37,£3.60m,Eskisehirspor,Süper Lig,Timbers,MLS,Free transfer,https://www.transfermarkt.co.uk/kris-boyd/profil/spieler/12729
757,2011,Adrián Colunga,Centre-Forward,35,£3.60m,Getafe,LaLiga,Sporting Gijón,LaLiga,Loan,https://www.transfermarkt.co.uk/adrian-colunga/profil/spieler/57866
758,2011,Louis Saha,Centre-Forward,42,£3.60m,Everton,Premier League,Spurs,Premier League,Free transfer,https://www.transfermarkt.co.uk/louis-saha/profil/spieler/4015
759,2011,Danny Graham,Centre-Forward,35,£1.35m,Watford,Championship,Swansea,Premier League,£3.51m,https://www.transfermarkt.co.uk/danny-graham/profil/spieler/29152
760,2011,Juan Pablo Pino,Right Winger,33,£3.42m,Galatasaray,Süper Lig,Al-Nassr,Professional League,Loan fee:,https://www.transfermarkt.co.uk/juan-pablo-pino/profil/spieler/46809
761,2011,Bogdan Stancu,Centre-Forward,33,£3.42m,Galatasaray,Süper Lig,Orduspor,Süper Lig,Loan fee:,https://www.transfermarkt.co.uk/bogdan-stancu/profil/spieler/46658
762,2011,Marvin Sordell,Centre-Forward,29,£900Th.,Watford,Championship,Bolton,Premier League,£3.24m,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010/saison_id/2011
763,2011,Kléber,Centre-Forward,30,£1.17m,Atlético-MG,Série A,FC Porto,Liga NOS,£3.20m,https://www.transfermarkt.co.uk/atletico-mineiro/startseite/verein/330/saison_id/2011
764,2011,Federico Piovaccari,Centre-Forward,36,£1.17m,Cittadella,Serie B,Sampdoria,Serie B,£3.15m,https://www.transfermarkt.co.uk/as-cittadella/startseite/verein/4084/saison_id/2011
765,2011,Roman Zozulya,Centre-Forward,30,£900Th.,Dynamo Kyiv,Premier Liga,Dnipro,Premier Liga,£3.15m,https://www.transfermarkt.co.uk/dynamo-kiew/startseite/verein/338/saison_id/2011
766,2011,Admir Mehmedi,Second Striker,29,£2.70m,FC Zürich,Super League,Dynamo Kyiv,Premier Liga,£3.15m,https://www.transfermarkt.co.uk/fc-zurich/startseite/verein/260/saison_id/2011
767,2011,Arkadiusz Malarz,Goalkeeper,40,£630Th.,AEL Limassol,Protathlima ML,Panachaiki,Football League,Free transfer,https://www.transfermarkt.co.uk/arkadiusz-malarz/profil/spieler/24515
768,2011,Ivan Karadzhov,Goalkeeper,31,£630Th.,CSKA Sofia,A Group,Lok. Plovdiv,A Group,Free transfer,https://www.transfermarkt.co.uk/ivan-karadzhov/profil/spieler/87275
769,2011,Jan Oblak,Goalkeeper,27,£630Th.,Benfica,Liga NOS,Leiria,Liga NOS,Loan,https://www.transfermarkt.co.uk/jan-oblak/profil/spieler/121483
770,2011,Manu Fernández,Goalkeeper,34,£630Th.,Dep. La Coruña,LaLiga2,Recr. Huelva,LaLiga2,Free transfer,https://www.transfermarkt.co.uk/manu-fernandez/profil/spieler/53293
771,2011,Sören Pirson,Goalkeeper,35,£630Th.,RW Oberhausen,3. Liga,Ergotelis,Super League,Free transfer,https://www.transfermarkt.co.uk/soren-pirson/profil/spieler/18192
772,2011,Mircea Bornescu,Goalkeeper,40,£630Th.,Petrolul,Friendlies,U Cluj,Liga 1,?,https://www.transfermarkt.co.uk/mircea-bornescu/profil/spieler/47569
773,2011,Yohei Nishibe,Goalkeeper,39,£630Th.,Shonan Bellmare,J.League Div.2,Kawasaki Front.,J.League Div.1,?,https://www.transfermarkt.co.uk/yohei-nishibe/profil/spieler/79641
774,2011,Dmitriy Nepogodov,Goalkeeper,32,£630Th.,Metallurg D.,Premier Liga,Banants,Bardzragujn khumb,Loan,https://www.transfermarkt.co.uk/dmitriy-nepogodov/profil/spieler/77847
775,2011,Matthieu Dreyer,Goalkeeper,31,£630Th.,FC Sochaux,Ligue 1,Fréjus-St-Raph.,Championnat National,Free transfer,https://www.transfermarkt.co.uk/matthieu-dreyer/profil/spieler/57134
776,2011,Rami Jeridi,Goalkeeper,36,£585Th.,Stade Tunisien,Ligue I Pro,CS Sfaxien,Ligue I Pro,£135Th.,https://www.transfermarkt.co.uk/rami-jeridi/profil/spieler/122489
777,2011,Ho-jun Kim,Goalkeeper,36,£585Th.,Jeju Utd.,K League Classic,Sangju Sangmu,K League Classic,Loan,https://www.transfermarkt.co.uk/ho-jun-kim/profil/spieler/90719
778,2011,Massimo Zappino,Goalkeeper,39,£585Th.,Varese,Serie B,FC Vaslui,Liga 1,Free transfer,https://www.transfermarkt.co.uk/massimo-zappino/profil/spieler/43237
779,2011,Leandro Castellanos,Goalkeeper,36,£585Th.,CD América,Liga DIMAYOR II,Deportivo Cali,Liga DIMAYOR II,?,https://www.transfermarkt.co.uk/leandro-castellanos/profil/spieler/73346
780,2011,Asmir Avdukic,Goalkeeper,39,£563Th.,B. Banja Luka,Premijer Liga,Persepolis,Persian Gulf Pro League,£87Th.,https://www.transfermarkt.co.uk/asmir-avdukic/profil/spieler/28294
781,2011,Stole Dimitrievski,Goalkeeper,26,£540Th.,Rabotnicki,Prva liga,Udinese U19,Primavera B,£540Th.,https://www.transfermarkt.co.uk/stole-dimitrievski/profil/spieler/165467
782,2011,Bernd Leno,Goalkeeper,28,£540Th.,VfB Stuttgart,Bundesliga,Bay. Leverkusen,Bundesliga,Loan fee:,https://www.transfermarkt.co.uk/bernd-leno/profil/spieler/72476
783,2011,Pascal Grünwald,Goalkeeper,37,£540Th.,FC Wacker,Bundesliga,Austria Vienna,Bundesliga,£225Th.,https://www.transfermarkt.co.uk/pascal-grunwald/profil/spieler/2882
784,2011,Luis Ojeda,Goalkeeper,30,£540Th.,CA Unión,Torneo Final,Argentinos Jrs.,Torneo Final,£225Th.,https://www.transfermarkt.co.uk/luis-ojeda/profil/spieler/75598
785,2011,Aymen Ben Ayoub,Goalkeeper,35,£540Th.,ES Zarzis,Ligue I Pro,Club Africain,Ligue I Pro,£203Th.,https://www.transfermarkt.co.uk/aymen-ben-ayoub/profil/spieler/122950
786,2011,Keylor Navas,Goalkeeper,33,£540Th.,Albacete,2ª B - Grupo I,Levante,LaLiga,Loan fee:,https://www.transfermarkt.co.uk/keylor-navas/profil/spieler/79422
787,2011,Robert Almer,Goalkeeper,36,£540Th.,Austria Vienna,Bundesliga,F. Düsseldorf,2. Bundesliga,Free transfer,https://www.transfermarkt.co.uk/robert-almer/profil/spieler/2950
788,2011,Lubos Kamenar,Goalkeeper,33,£540Th.,FC Nantes,Ligue 2,Sparta Praha,Fortuna Liga,Loan,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995/saison_id/2011
789,2011,Rob van Dijk,Goalkeeper,51,£540Th.,Feyenoord,Eredivisie,FC Utrecht,Eredivisie,Free transfer,https://www.transfermarkt.co.uk/feyenoord-rotterdam/startseite/verein/234/saison_id/2011
790,2011,Daniel Fernandes,Goalkeeper,37,£540Th.,CFR Cluj,Liga 1,Twente FC,Eredivisie,Free transfer,https://www.transfermarkt.co.uk/cfr-cluj/startseite/verein/7769/saison_id/2011
791,2011,Paulão,Centre-Back,38,£2.25m,Saint-Étienne,Ligue 1,Real Betis,LaLiga,Loan,https://www.transfermarkt.co.uk/paulao/profil/spieler/44700
792,2011,Hérita Ilunga,Left-Back,38,£2.25m,West Ham,Championship,Doncaster,Championship,Free transfer,https://www.transfermarkt.co.uk/herita-ilunga/profil/spieler/17432
793,2011,Juanma Ortiz,Right-Back,38,£2.25m,Rangers,Premiership,UD Almería,LaLiga2,Loan,https://www.transfermarkt.co.uk/juanma-ortiz/profil/spieler/7353
794,2011,Dario Dainelli,Centre-Back,41,£2.25m,Genoa,Serie A,Chievo Verona,Serie A,Loan,https://www.transfermarkt.co.uk/dario-dainelli/profil/spieler/5970
795,2011,Ryan Nelsen,Centre-Back,42,£2.25m,Blackburn,Premier League,Spurs,Premier League,Free transfer,https://www.transfermarkt.co.uk/ryan-nelsen/profil/spieler/28878
796,2011,Gabriel Silva,Left-Back,29,£2.25m,Granada CF,LaLiga,Novara,Serie A,Loan,https://www.transfermarkt.co.uk/gabriel-silva/profil/spieler/114340
