,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2015,Petr Cech,Goalkeeper,38,£10.80m,Chelsea,Premier League,Arsenal,Premier League,£12.60m,https://www.transfermarkt.co.uk/petr-cech/profil/spieler/5658
1,2015,Asmir Begovic,Goalkeeper,33,£10.80m,Stoke City,Premier League,Chelsea,Premier League,£9.90m,https://www.transfermarkt.co.uk/asmir-begovic/profil/spieler/33873
2,2015,Wojciech Szczesny,Goalkeeper,30,£9.00m,Arsenal,Premier League,AS Roma,Serie A,Loan,https://www.transfermarkt.co.uk/wojciech-szczesny/profil/spieler/44058
3,2015,Lu Zhang,Goalkeeper,33,£90Th.,Liaoning FC,Super League,TJ Quanjian,League One,£8.82m,https://www.transfermarkt.co.uk/lu-zhang/profil/spieler/143771
4,2015,Kevin Trapp,Goalkeeper,30,£7.20m,E. Frankfurt,Bundesliga,Paris SG,Ligue 1,£8.55m,https://www.transfermarkt.co.uk/kevin-trapp/profil/spieler/45672
5,2015,Neto,Goalkeeper,31,£8.10m,Fiorentina,Serie A,Juventus,Serie A,Free transfer,https://www.transfermarkt.co.uk/neto/profil/spieler/111819
6,2015,Kiko Casilla,Goalkeeper,34,£6.75m,Espanyol,LaLiga,Real Madrid,LaLiga,£5.40m,https://www.transfermarkt.co.uk/kiko-casilla/profil/spieler/27486
7,2015,Chao Gu,Goalkeeper,31,£113Th.,HZ Greentown,Super League,JS Suning,Super League,£6.35m,https://www.transfermarkt.co.uk/chao-gu/profil/spieler/211655
8,2015,Mathew Ryan,Goalkeeper,28,£6.30m,Club Brugge,Jupiler Pro League,Valencia,LaLiga,£6.30m,https://www.transfermarkt.co.uk/mathew-ryan/profil/spieler/128969
9,2015,Francesco Bardi,Goalkeeper,28,£6.30m,Inter,Serie A,Espanyol,LaLiga,Loan,https://www.transfermarkt.co.uk/francesco-bardi/profil/spieler/110925
10,2015,Dianzuo Liu,Goalkeeper,30,£180Th.,GZ R&F,Super League,GZ Evergrande,Super League,£6.03m,https://www.transfermarkt.co.uk/dianzuo-liu/profil/spieler/211497
11,2015,Fabiano,Goalkeeper,32,£5.85m,FC Porto,Liga NOS,Fenerbahce,Süper Lig,Loan,https://www.transfermarkt.co.uk/fabiano/profil/spieler/52848
12,2015,Roman Bürki,Goalkeeper,29,£5.40m,SC Freiburg,2. Bundesliga,Bor. Dortmund,Bundesliga,£3.15m,https://www.transfermarkt.co.uk/roman-burki/profil/spieler/59027
13,2015,Iker Casillas,Goalkeeper,39,£5.40m,Real Madrid,LaLiga,FC Porto,Liga NOS,Free transfer,https://www.transfermarkt.co.uk/iker-casillas/profil/spieler/3979
14,2015,Costel Pantilimon,Goalkeeper,33,£5.40m,Sunderland,Premier League,Watford,Premier League,?,https://www.transfermarkt.co.uk/costel-pantilimon/profil/spieler/47659
15,2015,Denys Boyko,Goalkeeper,32,£4.95m,Dnipro,Premier Liga,Besiktas,Süper Lig,£2.97m,https://www.transfermarkt.co.uk/denys-boyko/profil/spieler/91931
16,2015,Simone Scuffet,Goalkeeper,24,£4.95m,Udinese Calcio,Serie A,Como,Serie B,Loan,https://www.transfermarkt.co.uk/simone-scuffet/profil/spieler/238993
17,2015,Sergio Romero,Goalkeeper,33,£4.50m,Sampdoria,Serie A,Man Utd,Premier League,Free transfer,https://www.transfermarkt.co.uk/sergio-romero/profil/spieler/30690
18,2015,Nicola Leali,Goalkeeper,27,£4.50m,Juventus,Serie A,Frosinone,Serie A,Loan,https://www.transfermarkt.co.uk/nicola-leali/profil/spieler/136111
19,2015,Víctor Valdés,Goalkeeper,38,£4.50m,Man Utd,Premier League,Standard Liège,Jupiler Pro League,Loan,https://www.transfermarkt.co.uk/victor-valdes/profil/spieler/7589
20,2015,Francesco Bardi,Goalkeeper,28,£4.50m,Inter,Serie A,Frosinone,Serie A,Loan,https://www.transfermarkt.co.uk/francesco-bardi/profil/spieler/110925
21,2015,Alex McCarthy,Goalkeeper,30,£2.25m,QPR,Championship,Crystal Palace,Premier League,£4.41m,https://www.transfermarkt.co.uk/alex-mccarthy/profil/spieler/95976
22,2015,Sven Ulreich,Goalkeeper,32,£4.05m,VfB Stuttgart,Bundesliga,Bayern Munich ,Bundesliga,£3.15m,https://www.transfermarkt.co.uk/sven-ulreich/profil/spieler/40680
23,2015,Pepe Reina,Goalkeeper,38,£3.60m,Bayern Munich ,Bundesliga,SSC Napoli,Serie A,£1.80m,https://www.transfermarkt.co.uk/pepe-reina/profil/spieler/7825
24,2015,Luigi Sepe,Goalkeeper,29,£3.60m,SSC Napoli,Serie A,Fiorentina,Serie A,Loan fee:,https://www.transfermarkt.co.uk/luigi-sepe/profil/spieler/99254
25,2015,Nicolás Otamendi,Centre-Back,32,£22.50m,Valencia,LaLiga,Man City,Premier League,£40.05m,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781
26,2015,Danilo,Right-Back,29,£22.50m,FC Porto,Liga NOS,Real Madrid,LaLiga,£28.35m,https://www.transfermarkt.co.uk/danilo/profil/spieler/145707
