,year,player_name,position,age,transfermarkt_val,team_left,league_left,joined_team,joined_league,fee,url
0,2003,David Beckham,Right Midfield,45,-,Man Utd,Premier League,Real Madrid,LaLiga,£33.75m,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139
1,2003,Ronaldinho,Attacking Midfield,40,-,Paris SG,Ligue 1,FC Barcelona,LaLiga,£29.03m,https://www.transfermarkt.co.uk/ronaldinho/profil/spieler/3373
2,2003,Hernán Crespo,Centre-Forward,45,-,Inter,Serie A,Chelsea,Premier League,£23.40m,https://www.transfermarkt.co.uk/hernan-crespo/profil/spieler/3410
3,2003,Damien Duff,Right Midfield,41,-,Blackburn,Premier League,Chelsea,Premier League,£22.05m,https://www.transfermarkt.co.uk/damien-duff/profil/spieler/3259
4,2003,Adriano,Centre-Forward,38,-,AC Parma,Serie A,Inter,Serie A,£21.06m,https://www.transfermarkt.co.uk/adriano/profil/spieler/5876
5,2003,Juan Sebastián Verón,Central Midfield,45,-,Man Utd,Premier League,Chelsea,Premier League,£19.35m,https://www.transfermarkt.co.uk/juan-sebastian-veron/profil/spieler/3143
6,2003,Sébastien Frey,Goalkeeper,40,-,Inter,Serie A,AC Parma,Serie A,£18.90m,https://www.transfermarkt.co.uk/sebastien-frey/profil/spieler/5854
7,2003,José Antonio Reyes,Right Winger,†35,-,Sevilla FC,LaLiga,Arsenal,Premier League,£18.00m,https://www.transfermarkt.co.uk/jose-antonio-reyes/profil/spieler/7717
8,2003,Claude Makélélé,Defensive Midfield,47,-,Real Madrid,LaLiga,Chelsea,Premier League,£18.00m,https://www.transfermarkt.co.uk/claude-makelele/profil/spieler/4182
9,2003,Roy Makaay,Centre-Forward,45,-,Dep. La Coruña,LaLiga,Bayern Munich ,Bundesliga,£17.78m,https://www.transfermarkt.co.uk/roy-makaay/profil/spieler/3994
10,2003,Adrian Mutu,Centre-Forward,41,-,AC Parma,Serie A,Chelsea,Premier League,£17.10m,https://www.transfermarkt.co.uk/adrian-mutu/profil/spieler/5879
11,2003,Cristiano Ronaldo,Left Winger,35,-,Sporting CP,Liga NOS,Man Utd,Premier League,£17.10m,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198
12,2003,Cristian Chivu,Centre-Back,39,-,Ajax,Eredivisie,AS Roma,Serie A,£16.20m,https://www.transfermarkt.co.uk/cristian-chivu/profil/spieler/4314
13,2003,Louis Saha,Centre-Forward,42,-,Fulham,Premier League,Man Utd,Premier League,£15.75m,https://www.transfermarkt.co.uk/louis-saha/profil/spieler/4015
14,2003,Evanilson,Right-Back,45,-,AC Parma,Serie A,Bor. Dortmund,Bundesliga,£13.50m,https://www.transfermarkt.co.uk/evanilson/profil/spieler/110
15,2003,Scott Parker,Central Midfield,39,-,Charlton,Premier League,Chelsea,Premier League,£13.05m,https://www.transfermarkt.co.uk/scott-parker/profil/spieler/3785
16,2003,Andy van der Meyde,Right Winger,41,-,Ajax,Eredivisie,Inter,Serie A,£10.80m,https://www.transfermarkt.co.uk/andy-van-der-meyde/profil/spieler/3772
17,2003,Michael Essien,Defensive Midfield,37,-,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,£10.53m,https://www.transfermarkt.co.uk/michael-essien/profil/spieler/5588
18,2003,Pauleta,Centre-Forward,47,-,G. Bordeaux,Ligue 1,Paris SG,Ligue 1,£9.90m,https://www.transfermarkt.co.uk/pauleta/profil/spieler/3623
19,2003,Jermain Defoe,Centre-Forward,38,-,West Ham,First Division,Spurs,Premier League,£9.45m,https://www.transfermarkt.co.uk/jermain-defoe/profil/spieler/3875
20,2003,Wayne Bridge,Left-Back,40,-,Southampton,Premier League,Chelsea,Premier League,£9.45m,https://www.transfermarkt.co.uk/wayne-bridge/profil/spieler/3682
21,2003,Harry Kewell,Left Winger,42,-,Leeds,Premier League,Liverpool,Premier League,£9.00m,https://www.transfermarkt.co.uk/harry-kewell/profil/spieler/3241
22,2003,Njitap Geremi,Right Midfield,41,-,Real Madrid,LaLiga,Chelsea,Premier League,£9.00m,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418/saison_id/2003
23,2003,Joe Cole,Attacking Midfield,38,-,West Ham,First Division,Chelsea,Premier League,£8.91m,https://www.transfermarkt.co.uk/west-ham-united/startseite/verein/379/saison_id/2003
24,2003,Barry Ferguson,Defensive Midfield,42,-,Rangers,Premiership,Blackburn,Premier League,£8.78m,https://www.transfermarkt.co.uk/barry-ferguson/profil/spieler/10251
25,2003,Julio Cruz,Centre-Forward,45,-,Bologna,Serie A,Inter,Serie A,£8.55m,https://www.transfermarkt.co.uk/julio-cruz/profil/spieler/6006
26,2003,Hélder Postiga,Centre-Forward,38,-,FC Porto,Liga NOS,Spurs,Premier League,£8.10m,https://www.transfermarkt.co.uk/fc-porto/startseite/verein/720/saison_id/2003
27,2003,José Mari,Centre-Forward,41,-,Milan,Serie A,Villarreal,LaLiga,£8.10m,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5/saison_id/2003
28,2003,Ousmane Dabo,Defensive Midfield,43,-,Atalanta,Serie B,Lazio,Serie A,£7.99m,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800/saison_id/2003
29,2003,David Dunn,Attacking Midfield,40,-,Blackburn,Premier League,Birmingham,Premier League,£7.88m,https://www.transfermarkt.co.uk/blackburn-rovers/startseite/verein/164/saison_id/2003
30,2003,Glen Johnson,Right-Back,36,-,West Ham,First Division,Chelsea,Premier League,£7.47m,https://www.transfermarkt.co.uk/first-division-bis-03-04-/transfers/wettbewerb/EFD2/saison_id/2003
31,2003,Stephen Appiah,Defensive Midfield,39,-,Brescia,Serie A,Juventus,Serie A,£7.20m,https://www.transfermarkt.co.uk/serie-a/transfers/wettbewerb/IT1/saison_id/2003
32,2003,Ricardo Quaresma,Right Winger,37,-,Sporting CP,Liga NOS,FC Barcelona,LaLiga,£5.72m,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131/saison_id/2003
33,2003,Joseph Yobo,Centre-Back,40,-,Marseille,Ligue 1,Everton,Premier League,£5.40m,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29/saison_id/2003
34,2003,Mido,Centre-Forward,37,-,Ajax,Eredivisie,Marseille,Ligue 1,£5.40m,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244/saison_id/2003
